Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-13,1,1,,JAX,@,IND,L 12-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rashad Jennings
2009,2009-09-20,2,2,24.178,JAX,,ARI,L 17-31,False,2,1,0.50,0,0,0,0,,0,0.0%,,3,56,18.67,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Rashad Jennings
2009,2009-09-27,3,3,24.185,JAX,@,HOU,W 31-24,False,1,1,1.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Rashad Jennings
2009,2009-10-04,4,4,24.192,JAX,,TEN,W 37-17,False,9,53,5.89,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Rashad Jennings
2009,2009-10-11,5,5,24.199,JAX,@,SEA,L 0-41,False,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Rashad Jennings
2009,2009-10-18,6,6,24.206,JAX,,STL,W 23-20,False,1,2,2.00,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Rashad Jennings
2009,2009-11-01,7,8,24.220,JAX,@,TEN,L 13-30,False,3,8,2.67,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Rashad Jennings
2009,2009-11-08,8,9,24.227,JAX,,KAN,W 24-21,False,2,29,14.50,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Rashad Jennings
2009,2009-11-15,9,10,24.234,JAX,@,NYJ,W 24-22,False,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Rashad Jennings
2009,2009-11-22,10,11,24.241,JAX,,BUF,W 18-15,False,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Rashad Jennings
