Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,21.229,BAL,CIN,True,22,64,2.91,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,True,17,10,Ray Rice
2008,2008-09-21,2,3,21.243,BAL,CLE,False,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,28,10,Ray Rice
2008,2008-09-29,3,4,21.251,BAL,PIT,False,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Ray Rice
2008,2008-10-05,4,5,21.257,BAL,TEN,False,,,,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,10,13,Ray Rice
2008,2008-10-12,5,6,21.264,BAL,IND,False,6,23,3.83,0,8,7,64,9.14,0,87.5%,8.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,1,0,0,,,,,,,True,False,3,31,Ray Rice
2008,2008-10-19,6,7,21.271,BAL,MIA,True,7,13,1.86,0,2,2,46,23.00,0,100.0%,23.00,0,0,,0,0,0,,,,,,4,101,25.25,0,,0,0,0,,0,0,0,0,,,,,,,True,True,27,13,Ray Rice
2008,2008-10-26,7,8,21.278,BAL,OAK,False,8,64,8.00,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,,,,,2,54,27.00,0,,0,0,0,,0,0,0,0,,,,,,,False,True,29,10,Ray Rice
2008,2008-11-02,8,9,21.285,BAL,CLE,True,21,154,7.33,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,,,,,1,6,6.00,0,,0,0,0,,0,0,0,0,,,,,,,True,True,37,27,Ray Rice
2008,2008-11-09,9,10,21.292,BAL,HOU,True,7,17,2.43,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,41,13,Ray Rice
2008,2008-11-16,10,11,21.299,BAL,NYG,False,8,19,2.38,0,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,30,Ray Rice
2008,2008-11-23,11,12,21.306,BAL,PHI,False,8,7,0.88,0,6,3,42,14.00,0,50.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,36,7,Ray Rice
2008,2008-11-30,12,13,21.313,BAL,CIN,False,11,41,3.73,0,6,4,14,3.50,0,66.7%,2.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,3,Ray Rice
2008,2008-12-07,13,14,21.320,BAL,WAS,False,3,31,10.33,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,24,10,Ray Rice
