Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2001,2001-09-09,1,1,,IND,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,45,24,Reggie Wayne
2001,2001-09-23,2,2,22.310,IND,BUF,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,42,26,Reggie Wayne
2001,2001-09-30,3,3,,IND,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,44,Reggie Wayne
2001,2001-10-14,4,5,22.331,IND,OAK,True,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,18,23,Reggie Wayne
2001,2001-10-21,5,6,22.338,IND,NWE,True,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,17,38,Reggie Wayne
2001,2001-10-25,6,7,22.342,IND,KAN,True,7,5,63,12.60,0,71.4%,9.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,35,28,Reggie Wayne
2001,2001-11-04,7,8,22.352,IND,BUF,True,4,2,58,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,30,14,Reggie Wayne
2001,2001-11-11,8,9,22.359,IND,MIA,True,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,24,27,Reggie Wayne
2001,2001-11-18,9,10,23.001,IND,NOR,True,5,2,31,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,20,34,Reggie Wayne
2001,2001-11-25,10,11,,IND,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,40,Reggie Wayne
2001,2001-12-02,11,12,23.015,IND,BAL,False,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,27,39,Reggie Wayne
2001,2001-12-10,12,13,23.023,IND,MIA,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,6,41,Reggie Wayne
2001,2001-12-16,13,14,23.029,IND,ATL,True,8,5,78,15.60,0,62.5%,9.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,41,27,Reggie Wayne
2001,2001-12-23,14,15,23.036,IND,NYJ,True,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,28,29,Reggie Wayne
2001,2001-12-30,15,16,23.043,IND,STL,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,False,17,42,Reggie Wayne
2001,2002-01-06,16,17,23.050,IND,DEN,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,29,10,Reggie Wayne
2002,2002-09-08,1,1,23.295,IND,JAX,False,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,28,25,Reggie Wayne
2002,2002-09-15,2,2,23.302,IND,MIA,True,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,13,21,Reggie Wayne
2002,2002-09-22,3,3,23.309,IND,HOU,False,4,3,53,17.67,1,75.0%,13.25,0,0,,0,0,0,,0,0,0,,,,,,,1,6,1,1,0,0,0,0,,,,,,,True,True,23,3,Reggie Wayne
