Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,23.002,IND,LAR,L 9-46,False,0.0,0,0,0,,,6,302,50.33,0,0,0%,0,0%,13,37%,True,Rigoberto Sanchez,False,9,46
2017.0,2017-09-17,2.0,2.0,23.009,IND,ARI,L 13-16,False,0.0,0,0,0,,,7,303,43.29,0,0,0%,0,0%,16,52%,False,Rigoberto Sanchez,False,13,16
2017.0,2017-09-24,3.0,3.0,23.016,IND,CLE,W 31-28,False,0.0,0,0,0,,,7,320,45.71,0,0,0%,0,0%,18,53%,False,Rigoberto Sanchez,True,31,28
2017.0,2017-10-01,4.0,4.0,23.023,IND,SEA,L 18-46,False,0.0,0,0,0,,,6,250,41.67,0,0,0%,0,0%,12,40%,True,Rigoberto Sanchez,False,18,46
2017.0,2017-10-08,5.0,5.0,23.03,IND,SFO,W 26-23,False,0.0,0,0,0,,,4,191,47.75,0,0,0%,0,0%,16,47%,False,Rigoberto Sanchez,True,26,23
2017.0,2017-10-16,6.0,6.0,23.038,IND,TEN,L 22-36,False,0.0,1,0,1,0,0,3,160,53.33,0,0,0%,0,0%,14,44%,True,Rigoberto Sanchez,False,22,36
2017.0,2017-10-22,7.0,7.0,23.044,IND,JAX,L 0-27,False,0.0,0,0,0,,,7,314,44.86,0,0,0%,0,0%,8,38%,False,Rigoberto Sanchez,False,0,27
2017.0,2017-10-29,8.0,8.0,23.051,IND,CIN,L 23-24,False,0.0,1,0,1,0,0,4,183,45.75,1,0,0%,0,0%,15,52%,True,Rigoberto Sanchez,False,23,24
2017.0,2017-11-05,9.0,9.0,23.058,IND,HOU,W 20-14,False,0.0,0,0,0,,,6,249,41.50,0,0,0%,0,0%,15,52%,True,Rigoberto Sanchez,True,20,14
2017.0,2017-11-12,10.0,10.0,23.065,IND,PIT,L 17-20,False,0.0,0,0,0,,,7,328,46.86,0,0,0%,0,0%,14,47%,False,Rigoberto Sanchez,False,17,20
2017.0,2017-11-26,11.0,12.0,23.079,IND,TEN,L 16-20,False,0.0,0,0,0,,,5,235,47.00,0,0,0%,0,0%,15,56%,False,Rigoberto Sanchez,False,16,20
2017.0,2017-12-03,12.0,13.0,23.086,IND,JAX,L 10-30,False,0.0,0,0,0,,,4,187,46.75,0,0,0%,0,0%,9,38%,True,Rigoberto Sanchez,False,10,30
2017.0,2017-12-10,13.0,14.0,23.093,IND,BUF,L 7-13,False,0.0,0,0,0,0,0,7,269,38.43,0,0,0%,0,0%,13,59%,True,Rigoberto Sanchez,False,7,13
2017.0,2017-12-14,14.0,15.0,23.097,IND,DEN,L 13-25,False,0.0,0,0,0,,,4,164,41.00,0,0,0%,0,0%,11,50%,False,Rigoberto Sanchez,False,13,25
2017.0,2017-12-23,15.0,16.0,23.106,IND,BAL,L 16-23,False,0.0,0,0,0,,,2,74,37.00,0,0,0%,0,0%,13,48%,True,Rigoberto Sanchez,False,16,23
2017.0,2017-12-31,16.0,17.0,23.114,IND,HOU,W 22-13,False,0.0,0,0,0,0,0,5,235,47.00,0,0,0%,0,0%,14,54%,False,Rigoberto Sanchez,True,22,13
2018.0,2018-09-09,1.0,1.0,24.001,IND,CIN,L 23-34,False,0.0,0,0,0,,,2,95,47.50,0,0,0%,0,0%,14,48%,False,Rigoberto Sanchez,False,23,34
2018.0,2018-09-16,2.0,2.0,24.008,IND,WAS,W 21-9,False,0.0,0,0,0,,,5,235,47.00,0,0,0%,0,0%,12,48%,True,Rigoberto Sanchez,True,21,9
2018.0,2018-09-23,3.0,3.0,24.015,IND,PHI,L 16-20,False,0.0,0,0,0,,,5,222,44.40,0,0,0%,0,0%,15,54%,True,Rigoberto Sanchez,False,16,20
