Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,23.003,PHI,GNB,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,20,27,Riley Cooper
2010,2010-09-19,2,2,23.010,PHI,DET,False,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,35,32,Riley Cooper
2010,2010-09-26,3,3,23.017,PHI,JAX,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,28,3,Riley Cooper
2010,2010-10-03,4,4,23.024,PHI,WAS,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,12,17,Riley Cooper
2010,2010-10-10,5,5,,PHI,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,24,Riley Cooper
2010,2010-10-17,6,6,,PHI,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,17,Riley Cooper
2010,2010-10-24,7,7,23.045,PHI,TEN,True,6,3,51,17.00,1,50.0%,8.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,19,37,Riley Cooper
2010,2010-11-07,8,9,23.059,PHI,IND,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,26,24,Riley Cooper
2010,2010-11-15,9,10,23.067,PHI,WAS,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,59,28,Riley Cooper
2010,2010-11-21,10,11,23.073,PHI,NYG,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,27,17,Riley Cooper
2010,2010-11-28,11,12,23.080,PHI,CHI,False,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,26,31,Riley Cooper
2010,2010-12-02,12,13,,PHI,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,24,Riley Cooper
2010,2010-12-12,13,14,23.094,PHI,DAL,False,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,30,27,Riley Cooper
2010,2010-12-19,14,15,23.101,PHI,NYG,False,,0,0,,0,0.0%,,0,0,,0,0,9,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,31,Riley Cooper
2010,2010-12-28,15,16,23.110,PHI,MIN,False,0,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,14,24,Riley Cooper
2010,2011-01-02,16,17,23.115,PHI,DAL,True,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,14,Riley Cooper
2011,2011-09-11,1,1,24.002,PHI,STL,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,31,13,Riley Cooper
2011,2011-09-18,2,2,24.009,PHI,ATL,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,31,35,Riley Cooper
2011,2011-09-25,3,3,24.016,PHI,NYG,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,16,29,Riley Cooper
2011,2011-10-02,4,4,24.023,PHI,SFO,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,23,24,Riley Cooper
2011,2011-10-09,5,5,24.030,PHI,BUF,False,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,False,24,31,Riley Cooper
2011,2011-10-16,6,6,24.037,PHI,WAS,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,20,13,Riley Cooper
2011,2011-10-30,7,8,24.051,PHI,DAL,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,7,Riley Cooper
2011,2011-11-07,8,9,24.059,PHI,CHI,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,30,Riley Cooper
