Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,27.225,TEN,PIT,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,7,34,Rob Bironas
2005,2005-09-18,2,2,27.232,TEN,BAL,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,25,10,Rob Bironas
2005,2005-09-25,3,3,27.239,TEN,STL,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,27,31,Rob Bironas
2005,2005-10-02,4,4,27.246,TEN,IND,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,10,31,Rob Bironas
2005,2005-10-09,5,5,27.253,TEN,HOU,False,4,4,100.0,2,3,66.7,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,34,20,Rob Bironas
2005,2005-10-16,6,6,27.260,TEN,CIN,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,23,31,Rob Bironas
2005,2005-10-23,7,7,27.267,TEN,ARI,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0,,0,1,0,0,0,0,,0,,,,,,,True,False,10,20,Rob Bironas
2005,2005-10-30,8,8,27.274,TEN,OAK,False,1,2,50.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,25,34,Rob Bironas
2005,2005-11-06,9,9,27.281,TEN,CLE,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,14,20,Rob Bironas
2005,2005-11-20,10,11,27.295,TEN,JAX,False,4,4,100.0,,,,0,4,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,False,False,28,31,Rob Bironas
2005,2005-11-27,11,12,27.302,TEN,SFO,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,33,22,Rob Bironas
2005,2005-12-04,12,13,27.309,TEN,IND,False,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,3,35,Rob Bironas
2005,2005-12-11,13,14,27.316,TEN,HOU,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,13,10,Rob Bironas
2005,2005-12-18,14,15,27.323,TEN,SEA,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,24,28,Rob Bironas
2005,2005-12-24,15,16,27.329,TEN,MIA,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,10,24,Rob Bironas
2005,2006-01-01,16,17,27.337,TEN,JAX,False,1,2,50.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,False,13,40,Rob Bironas
