Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-09-09,1.0,1.0,22.21,WAS,NOR,W 40-32,True,19,26,73.08,320,2,0,139.9,2,14,12.31,13.85,9,42,4.67,0,,0,0,1,0,0,1,0,0,75,100%,0,0%,0,0%,True,Robert Griffin III,True,40,32
2012.0,2012-09-16,2.0,2.0,22.217,WAS,STL,L 28-31,True,20,29,68.97,206,1,1,86.3,1,9,7.10,6.24,11,82,7.45,2,,2,12,0,0,0,0,0,0,60,100%,0,0%,0,0%,True,Robert Griffin III,False,28,31
2012.0,2012-09-23,3.0,3.0,22.224,WAS,CIN,L 31-38,True,21,34,61.76,221,1,0,90.4,5,42,6.50,7.09,13,74,5.69,1,,1,6,3,1,0,1,0,0,76,100%,0,0%,0,0%,False,Robert Griffin III,False,31,38
2012.0,2012-09-30,4.0,4.0,22.231,WAS,TAM,W 24-22,True,26,35,74.29,323,0,0,102.4,1,2,9.23,9.23,8,36,4.50,1,,1,6,1,0,0,0,0,0,73,100%,0,0%,0,0%,True,Robert Griffin III,True,24,22
2012.0,2012-10-07,5.0,5.0,22.238,WAS,ATL,L 17-24,True,10,15,66.67,91,0,0,82.9,2,9,6.07,6.07,1,7,7.00,0,,0,0,0,0,0,0,0,0,36,73%,0,0%,0,0%,False,Robert Griffin III,False,17,24
2012.0,2012-10-14,6.0,6.0,22.245,WAS,MIN,W 38-26,True,17,22,77.27,182,1,1,97.2,1,4,8.27,7.14,13,138,10.62,2,,2,12,0,0,0,0,0,0,58,100%,0,0%,0,0%,False,Robert Griffin III,True,38,26
2012.0,2012-10-21,7.0,7.0,22.252,WAS,NYG,L 23-27,True,20,28,71.43,258,2,1,108.9,3,26,9.21,9.04,9,89,9.89,0,,0,0,2,1,0,1,0,0,70,100%,0,0%,0,0%,True,Robert Griffin III,False,23,27
2012.0,2012-10-28,8.0,8.0,22.259,WAS,PIT,L 12-27,True,16,34,47.06,177,1,0,72.8,1,8,5.21,5.79,6,8,1.33,0,,0,0,1,0,0,1,-7,0,59,100%,0,0%,0,0%,True,Robert Griffin III,False,12,27
2012.0,2012-11-04,9.0,9.0,22.266,WAS,CAR,L 13-21,True,23,39,58.97,215,0,0,74.2,4,29,5.51,5.51,11,53,4.82,0,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,False,Robert Griffin III,False,13,21
2012.0,2012-11-18,10.0,11.0,22.28,WAS,PHI,W 31-6,True,14,15,93.33,200,4,0,158.3,2,8,13.33,18.67,12,84,7.00,0,,0,0,1,0,0,0,0,0,53,100%,0,0%,0,0%,False,Robert Griffin III,True,31,6
2012.0,2012-11-22,11.0,12.0,22.284,WAS,DAL,W 38-31,True,19,27,70.37,304,4,1,131.8,3,16,11.26,12.56,7,29,4.14,0,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Robert Griffin III,True,38,31
2012.0,2012-12-03,12.0,13.0,22.295,WAS,NYG,W 17-16,True,13,21,61.90,163,1,0,101.9,0,0,7.76,8.71,5,72,14.40,0,,0,0,1,0,0,0,0,0,54,100%,0,0%,0,0%,False,Robert Griffin III,True,17,16
2012.0,2012-12-09,13.0,14.0,22.301,WAS,BAL,W 31-28,True,15,26,57.69,242,1,0,101.8,3,24,9.31,10.08,7,34,4.86,0,,0,0,1,0,0,0,-9,0,65,90%,0,0%,0,0%,False,Robert Griffin III,True,31,28
2012.0,2012-12-16,14.0,15.0,,WAS,CLE,W 38-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,True,38,21
2012.0,2012-12-23,15.0,16.0,22.315,WAS,PHI,W 27-20,True,16,24,66.67,198,2,1,102.4,1,13,8.25,8.04,2,4,2.00,0,,0,0,1,0,0,0,0,0,53,100%,0,0%,0,0%,True,Robert Griffin III,True,27,20
2012.0,2012-12-30,16.0,17.0,22.322,WAS,DAL,W 28-18,True,9,18,50.00,100,0,0,66.9,1,13,5.56,5.56,6,63,10.50,1,,1,6,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,Robert Griffin III,True,28,18
2013.0,2013-09-09,1.0,1.0,23.209,WAS,PHI,L 27-33,True,30,49,61.22,329,2,2,77.7,3,21,6.71,5.69,5,24,4.80,0,,0,0,1,0,0,0,-5,0,75,100%,0,0%,0,0%,False,Robert Griffin III,False,27,33
2013.0,2013-09-15,2.0,2.0,23.215,WAS,GNB,L 20-38,True,26,40,65.00,320,3,1,104.2,1,6,8.00,8.38,4,1,0.25,0,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,True,Robert Griffin III,False,20,38
2013.0,2013-09-22,3.0,3.0,23.222,WAS,DET,L 20-27,True,32,50,64.00,326,0,1,74.2,2,26,6.52,5.62,6,37,6.17,0,,0,0,3,1,0,2,-10,0,77,100%,0,0%,0,0%,False,Robert Griffin III,False,20,27
2013.0,2013-09-29,4.0,4.0,23.229,WAS,OAK,W 24-14,True,18,31,58.06,227,1,0,91.7,1,10,7.32,7.97,3,10,3.33,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,True,Robert Griffin III,True,24,14
2013.0,2013-10-13,5.0,6.0,23.243,WAS,DAL,L 16-31,True,19,39,48.72,246,0,1,58.3,3,29,6.31,5.15,9,77,8.56,0,,0,0,2,1,0,0,0,0,78,100%,0,0%,0,0%,True,Robert Griffin III,False,16,31
2013.0,2013-10-20,6.0,7.0,23.25,WAS,CHI,W 45-41,True,18,29,62.07,298,2,1,105.2,1,8,10.28,10.10,11,84,7.64,0,,0,0,1,0,0,0,-17,0,75,100%,0,0%,0,0%,False,Robert Griffin III,True,45,41
2013.0,2013-10-27,7.0,8.0,23.257,WAS,DEN,L 21-45,True,15,30,50.00,132,1,2,45.4,3,26,4.40,2.07,5,7,1.40,0,,0,0,2,1,0,0,-4,0,61,86%,0,0%,0,0%,True,Robert Griffin III,False,21,45
2013.0,2013-11-03,8.0,9.0,23.264,WAS,SDG,W 30-24,True,23,32,71.88,291,0,1,86.8,0,0,9.09,7.69,6,17,2.83,0,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Robert Griffin III,True,30,24
2013.0,2013-11-07,9.0,10.0,23.268,WAS,MIN,L 27-34,True,24,37,64.86,281,3,0,114.8,4,39,7.59,9.22,7,44,6.29,0,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,True,Robert Griffin III,False,27,34
2013.0,2013-11-17,10.0,11.0,23.278,WAS,PHI,L 16-24,True,17,35,48.57,264,2,1,81.1,4,28,7.54,7.40,10,44,4.40,0,1,0,2,1,1,0,0,0,0,82,100%,0,0%,0,0%,True,Robert Griffin III,False,16,24
2013.0,2013-11-25,11.0,12.0,23.286,WAS,SFO,L 6-27,True,16,26,61.54,118,0,1,56.3,6,42,4.54,2.81,4,27,6.75,0,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,False,Robert Griffin III,False,6,27
2013.0,2013-12-01,12.0,13.0,23.292,WAS,NYG,L 17-24,True,24,32,75.00,207,1,0,102.0,5,23,6.47,7.09,12,88,7.33,0,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,False,Robert Griffin III,False,17,24
2013.0,2013-12-08,13.0,14.0,23.299,WAS,KAN,L 10-45,True,12,26,46.15,164,1,1,63.6,5,16,6.31,5.35,4,29,7.25,0,,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,False,Robert Griffin III,False,10,45
2013.0,2013-12-15,14.0,15.0,,WAS,ATL,L 26-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,26,27
2013.0,2013-12-22,15.0,16.0,,WAS,DAL,L 23-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,23,24
2013.0,2013-12-29,16.0,17.0,,WAS,NYG,L 6-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,6,20
2014.0,2014-09-07,1.0,1.0,24.207,WAS,HOU,L 6-17,True,29,37,78.38,267,0,0,96.7,3,26,7.22,7.22,3,2,0.67,0,,0,0,2,1,0,1,-3,0,65,100%,0,0%,0,0%,True,Robert Griffin III,False,6,17
2014.0,2014-09-14,2.0,2.0,24.214,WAS,JAX,W 41-10,True,2,3,66.67,38,0,0,109.7,1,9,12.67,12.67,2,22,11.00,0,,0,0,0,0,0,0,0,0,9,11%,0,0%,0,0%,False,Robert Griffin III,True,41,10
2014.0,2014-09-21,3.0,3.0,,WAS,PHI,L 34-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,34,37
2014.0,2014-09-25,4.0,4.0,,WAS,NYG,L 14-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,14,45
2014.0,2014-10-06,5.0,5.0,,WAS,SEA,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,17,27
2014.0,2014-10-12,6.0,6.0,,WAS,ARI,L 20-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,20,30
