Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,,TAM,NOR,W 48-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ronald Jones II,True,48,40
2018.0,2018-09-16,2.0,2.0,,TAM,PHI,W 27-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ronald Jones II,True,27,21
2018.0,2018-09-24,3.0,3.0,,TAM,PIT,L 27-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ronald Jones II,False,27,30
2018.0,2018-09-30,4.0,4.0,21.058,TAM,CHI,L 10-48,False,10,29,2.90,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,32%,0,0%,8,29%,True,Ronald Jones II,False,10,48
2018.0,2018-10-14,5.0,6.0,21.072,TAM,ATL,L 29-34,False,1,3,3.00,0,3,3,16,5.33,0,100.0%,5.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,18%,0,0%,7,24%,True,Ronald Jones II,False,29,34
2018.0,2018-10-21,6.0,7.0,21.079,TAM,CLE,W 26-23,False,6,13,2.17,1,1,1,15,15.00,0,100.0%,15.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,29,31%,0,0%,4,12%,False,Ronald Jones II,True,26,23
2018.0,2018-10-28,7.0,8.0,21.086,TAM,CIN,L 34-37,False,2,-3,-1.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,12%,0,0%,5,15%,True,Ronald Jones II,False,34,37
2018.0,2018-11-04,8.0,9.0,,TAM,CAR,L 28-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ronald Jones II,False,28,42
2018.0,2018-11-11,9.0,10.0,,TAM,WAS,L 3-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ronald Jones II,False,3,16
2018.0,2018-11-18,10.0,11.0,,TAM,NYG,L 35-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ronald Jones II,False,35,38
