Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-09-05,1,1,21.121,NYG,,DAL,L 17-24,False,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,2,4%,0,0%,0,0%,False,Rueben Randle
2012,2012-09-16,2,2,21.132,NYG,,TAM,W 41-34,False,0,0,0,,0,0.0%,,2,23,11.50,0,0,0,0,0,0,0,0,0,3,4%,0,0%,7,19%,False,Rueben Randle
2012,2012-09-20,3,3,21.136,NYG,@,CAR,W 36-7,False,3,1,4,4.00,0,33.3%,1.33,1,6,6.00,0,0,0,0,0,0,0,0,0,27,39%,0,0%,4,16%,True,Rueben Randle
2012,2012-09-30,4,4,21.146,NYG,@,PHI,L 17-19,False,1,0,0,,0,0.0%,0.00,3,29,9.67,0,0,0,0,0,0,0,0,0,4,6%,0,0%,4,14%,True,Rueben Randle
2012,2012-10-07,5,5,21.153,NYG,,CLE,W 41-27,False,9,6,82,13.67,0,66.7%,9.11,1,8,8.00,0,0,0,0,0,0,0,0,0,38,51%,0,0%,3,10%,False,Rueben Randle
2012,2012-10-14,6,6,21.160,NYG,@,SFO,W 26-3,False,0,0,0,,0,0.0%,,2,2,1.00,0,0,0,0,0,0,0,0,0,0,0%,0,0%,4,15%,True,Rueben Randle
2012,2012-10-21,7,7,21.167,NYG,,WAS,W 27-23,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,0,0%,0,0%,8,30%,False,Rueben Randle
2012,2012-10-28,8,8,21.174,NYG,@,DAL,W 29-24,False,2,2,68,34.00,0,100.0%,34.00,1,1,1.00,0,0,0,0,0,0,0,0,0,9,15%,0,0%,9,26%,True,Rueben Randle
2012,2012-11-04,9,9,21.181,NYG,,PIT,L 20-24,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,7,14%,0,0%,4,14%,False,Rueben Randle
2012,2012-11-11,10,10,21.188,NYG,@,CIN,L 13-31,False,2,2,4,2.00,0,100.0%,2.00,2,28,14.00,0,0,0,0,0,0,0,0,0,19,26%,0,0%,5,19%,True,Rueben Randle
2012,2012-11-25,11,12,21.202,NYG,,GNB,W 38-10,False,2,2,26,13.00,1,100.0%,13.00,1,0,0.00,0,1,6,1,0,0,1,0,0,20,31%,0,0%,4,15%,False,Rueben Randle
2012,2012-12-03,12,13,21.210,NYG,@,WAS,L 16-17,False,2,1,13,13.00,0,50.0%,6.50,2,11,5.50,0,0,0,0,0,0,0,0,0,42,64%,0,0%,3,14%,True,Rueben Randle
2012,2012-12-09,13,14,21.216,NYG,,NOR,W 52-27,False,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,1,1%,0,0%,0,0%,False,Rueben Randle
2012,2012-12-16,14,15,21.223,NYG,@,ATL,L 0-34,False,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,2,4%,0,0%,7,37%,True,Rueben Randle
2012,2012-12-23,15,16,21.230,NYG,@,BAL,L 14-33,False,4,1,43,43.00,0,25.0%,10.75,0,0,,0,0,0,0,0,0,0,0,0,16,33%,0,0%,2,7%,True,Rueben Randle
2012,2012-12-30,16,17,21.237,NYG,,PHI,W 42-7,True,4,4,58,14.50,2,100.0%,14.50,0,0,,0,2,12,0,0,0,0,0,0,55,87%,0,0%,3,13%,False,Rueben Randle
2013,2013-09-08,1,1,22.124,NYG,@,DAL,L 31-36,False,6,5,101,20.20,0,83.3%,16.83,4,20,5.00,0,0,0,0,0,0,0,0,0,40,67%,0,0%,6,18%,True,Rueben Randle
2013,2013-09-15,2,2,22.131,NYG,,DEN,L 23-41,False,9,3,14,4.67,0,33.3%,1.56,2,13,6.50,0,0,0,0,0,0,0,0,0,62,78%,0,0%,4,11%,False,Rueben Randle
2013,2013-09-22,3,3,22.138,NYG,@,CAR,L 0-38,False,4,2,40,20.00,0,50.0%,10.00,1,0,0.00,0,0,0,0,0,0,0,0,0,36,68%,0,0%,2,8%,True,Rueben Randle
2013,2013-09-29,4,4,22.145,NYG,@,KAN,L 7-31,True,4,1,7,7.00,0,25.0%,1.75,4,35,8.75,0,0,0,1,0,0,0,0,0,39,62%,0,0%,5,17%,True,Rueben Randle
2013,2013-10-06,5,5,22.152,NYG,,PHI,L 21-36,False,13,6,96,16.00,2,46.2%,7.38,1,8,8.00,0,2,12,0,0,0,0,0,0,39,53%,0,0%,7,19%,False,Rueben Randle
2013,2013-10-10,6,6,22.156,NYG,@,CHI,L 21-27,False,5,3,75,25.00,1,60.0%,15.00,0,0,,0,1,6,0,0,0,0,0,0,22,41%,0,0%,3,12%,True,Rueben Randle
2013,2013-10-21,7,7,22.167,NYG,,MIN,W 23-7,False,3,3,40,13.33,1,100.0%,13.33,3,25,8.33,0,1,6,1,1,0,0,0,0,34,46%,0,0%,7,23%,False,Rueben Randle
2013,2013-10-27,8,8,22.173,NYG,@,PHI,W 15-7,False,1,0,0,,0,0.0%,0.00,2,9,4.50,0,0,0,0,0,0,0,0,0,27,36%,0,0%,7,27%,True,Rueben Randle
2013,2013-11-10,9,10,22.187,NYG,,OAK,W 24-20,False,3,3,50,16.67,1,100.0%,16.67,3,30,10.00,0,1,6,0,0,0,0,0,0,20,31%,0,0%,6,21%,False,Rueben Randle
2013,2013-11-17,10,11,22.194,NYG,,GNB,W 27-13,False,3,3,37,12.33,1,100.0%,12.33,1,32,32.00,0,1,6,0,0,0,0,0,0,30,45%,0,0%,6,21%,False,Rueben Randle
2013,2013-11-24,11,12,22.201,NYG,,DAL,L 21-24,True,7,3,64,21.33,0,42.9%,9.14,1,16,16.00,0,0,0,0,0,0,0,0,0,66,99%,0,0%,7,25%,False,Rueben Randle
2013,2013-12-01,12,13,22.208,NYG,@,WAS,W 24-17,False,4,3,20,6.67,0,75.0%,5.00,3,22,7.33,0,0,0,1,0,0,1,0,0,29,54%,0,0%,9,31%,True,Rueben Randle
2013,2013-12-08,13,14,22.215,NYG,@,SDG,L 14-37,False,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,0,0,0,0,0,0,27,49%,0,0%,8,32%,True,Rueben Randle
2013,2013-12-15,14,15,22.222,NYG,,SEA,L 0-23,False,2,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,0,0,0,0,0,0,37,67%,0,0%,8,30%,False,Rueben Randle
2013,2013-12-22,15,16,22.229,NYG,@,DET,W 23-20,True,9,4,40,10.00,0,44.4%,4.44,3,23,7.67,0,0,0,0,0,0,0,0,0,50,76%,0,0%,7,23%,True,Rueben Randle
2013,2013-12-29,16,17,22.236,NYG,,WAS,W 20-6,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,22,32%,0,0%,3,9%,False,Rueben Randle
2014,2014-09-08,1,1,23.124,NYG,@,DET,L 14-35,True,3,2,1,0.50,0,66.7%,0.33,0,0,,0,0,0,0,0,0,0,0,0,56,93%,0,0%,0,0%,True,Rueben Randle
2014,2014-09-14,2,2,23.130,NYG,,ARI,L 14-25,True,7,4,39,9.75,1,57.1%,5.57,0,0,,0,1,6,0,0,0,0,0,0,68,94%,0,0%,1,4%,False,Rueben Randle
2014,2014-09-21,3,3,23.137,NYG,,HOU,W 30-17,True,10,5,27,5.40,0,50.0%,2.70,0,0,,0,0,0,0,0,0,0,0,0,62,87%,0,0%,1,3%,False,Rueben Randle
2014,2014-09-25,4,4,23.141,NYG,@,WAS,W 45-14,True,10,8,89,11.13,0,80.0%,8.90,0,0,,0,0,0,0,0,0,0,0,0,67,83%,0,0%,0,0%,True,Rueben Randle
2014,2014-10-05,5,5,23.151,NYG,,ATL,W 30-20,True,10,4,33,8.25,1,40.0%,3.30,0,0,,0,1,6,0,0,0,0,0,0,63,93%,0,0%,1,3%,False,Rueben Randle
2014,2014-10-12,6,6,23.158,NYG,@,PHI,L 0-27,True,9,5,58,11.60,0,55.6%,6.44,0,0,,0,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,True,Rueben Randle
2014,2014-10-19,7,7,23.165,NYG,@,DAL,L 21-31,True,9,6,74,12.33,0,66.7%,8.22,0,0,,0,0,0,0,0,0,0,0,0,58,92%,0,0%,1,4%,True,Rueben Randle
2014,2014-11-03,8,9,23.180,NYG,,IND,L 24-40,True,11,4,49,12.25,0,36.4%,4.45,0,0,,0,0,0,0,0,0,0,0,0,72,95%,0,0%,3,8%,False,Rueben Randle
2014,2014-11-09,9,10,23.186,NYG,@,SEA,L 17-38,True,10,5,39,7.80,0,50.0%,3.90,0,0,,0,0,0,0,0,0,0,0,0,66,97%,0,0%,1,4%,True,Rueben Randle
2014,2014-11-16,10,11,23.193,NYG,,SFO,L 10-16,True,15,7,112,16.00,0,46.7%,7.47,0,0,,0,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,False,Rueben Randle
2014,2014-11-23,11,12,23.200,NYG,,DAL,L 28-31,True,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,0,0,0,0,0,0,69,92%,0,0%,2,7%,False,Rueben Randle
2014,2014-11-30,12,13,23.207,NYG,@,JAX,L 24-25,False,4,3,52,17.33,0,75.0%,13.00,0,0,,0,0,0,0,0,0,0,0,0,45,61%,0,0%,0,0%,True,Rueben Randle
2014,2014-12-07,13,14,23.214,NYG,@,TEN,W 36-7,False,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,0,0,0,0,0,0,50,68%,0,0%,1,3%,True,Rueben Randle
2014,2014-12-14,14,15,23.221,NYG,,WAS,W 24-13,False,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,0,0,0,0,0,0,31,51%,0,0%,0,0%,False,Rueben Randle
2014,2014-12-21,15,16,23.228,NYG,@,STL,W 37-27,True,6,6,132,22.00,1,100.0%,22.00,0,0,,0,1,6,0,0,0,0,0,0,64,90%,0,0%,1,3%,True,Rueben Randle
2014,2014-12-28,16,17,23.235,NYG,,PHI,L 26-34,True,13,6,158,26.33,0,46.2%,12.15,0,0,,0,0,0,0,0,0,0,0,0,76,95%,0,0%,6,15%,False,Rueben Randle
2015,2015-09-13,1,1,24.129,NYG,@,DAL,L 26-27,True,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,True,Rueben Randle
2015,2015-09-20,2,2,24.136,NYG,,ATL,L 20-24,True,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0,0,0,0,0,0,68,96%,0,0%,0,0%,False,Rueben Randle
2015,2015-09-24,3,3,24.140,NYG,,WAS,W 32-21,True,7,7,116,16.57,1,100.0%,16.57,0,0,,0,1,6,0,0,0,0,0,0,64,96%,0,0%,2,7%,False,Rueben Randle
2015,2015-10-04,4,4,24.150,NYG,@,BUF,W 24-10,True,6,3,31,10.33,1,50.0%,5.17,0,0,,0,1,6,0,0,0,0,0,0,67,93%,0,0%,1,3%,True,Rueben Randle
2015,2015-10-11,5,5,24.157,NYG,,SFO,W 30-27,True,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,0,0,0,0,0,0,66,84%,0,0%,0,0%,False,Rueben Randle
2015,2015-10-19,6,6,24.165,NYG,@,PHI,L 7-27,True,6,5,44,8.80,0,83.3%,7.33,0,0,,0,0,0,0,0,0,0,0,0,48,71%,0,0%,0,0%,True,Rueben Randle
2015,2015-10-25,7,7,24.171,NYG,,DAL,W 27-20,True,5,2,68,34.00,0,40.0%,13.60,0,0,,0,0,0,0,0,0,0,0,0,48,91%,0,0%,0,0%,False,Rueben Randle
2015,2015-11-01,8,8,24.178,NYG,@,NOR,L 49-52,True,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,0,0,0,0,0,0,69,95%,0,0%,0,0%,True,Rueben Randle
2015,2015-11-08,9,9,24.185,NYG,@,TAM,W 32-18,True,5,5,40,8.00,1,100.0%,8.00,0,0,,0,1,6,0,0,0,0,0,0,65,87%,0,0%,0,0%,True,Rueben Randle
2015,2015-11-15,10,10,24.192,NYG,,NWE,L 26-27,True,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,0,0,0,0,0,0,72,96%,0,0%,1,3%,False,Rueben Randle
2015,2015-11-29,11,12,24.206,NYG,@,WAS,L 14-20,True,6,1,36,36.00,1,16.7%,6.00,0,0,,0,1,6,0,0,0,0,0,0,59,86%,0,0%,0,0%,True,Rueben Randle
2015,2015-12-06,12,13,24.213,NYG,,NYJ,L 20-23,True,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,0,0,0,0,0,0,43,66%,0,0%,0,0%,False,Rueben Randle
2015,2015-12-14,13,14,24.221,NYG,@,MIA,W 31-24,True,6,5,58,11.60,1,83.3%,9.67,0,0,,0,1,6,0,0,0,0,0,0,58,88%,0,0%,0,0%,True,Rueben Randle
2015,2015-12-20,14,15,24.227,NYG,,CAR,L 35-38,True,5,4,47,11.75,1,80.0%,9.40,0,0,,0,1,6,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Rueben Randle
2015,2015-12-27,15,16,24.234,NYG,@,MIN,L 17-49,True,5,2,80,40.00,1,40.0%,16.00,0,0,,0,1,6,0,0,0,0,0,0,56,90%,0,0%,0,0%,True,Rueben Randle
2015,2016-01-03,16,17,24.241,NYG,,PHI,L 30-35,True,7,4,79,19.75,1,57.1%,11.29,0,0,,0,1,6,0,0,0,0,0,0,84,100%,0,0%,0,0%,False,Rueben Randle
,64 Games,,,,,,,28-36-0,False,327,188,2644,14.06,20,57.5%,8.09,44,345,7.84,0,20,120,4,1,0,2,0,0,,,,,,,False,Rueben Randle
