Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-06,1.0,1.0,22.227,ATL,PHI,L 12-18,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,19,70%,True,Russell Gage,False,12,18
2018.0,2018-09-16,2.0,2.0,,ATL,CAR,W 31-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Russell Gage,True,31,24
2018.0,2018-09-23,3.0,3.0,22.244,ATL,NOR,L 37-43,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,25,69%,False,Russell Gage,False,37,43
2018.0,2018-09-30,4.0,4.0,22.251,ATL,CIN,L 36-37,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,21,72%,False,Russell Gage,False,36,37
2018.0,2018-10-07,5.0,5.0,22.258,ATL,PIT,L 17-41,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,23,85%,True,Russell Gage,False,17,41
2018.0,2018-10-14,6.0,6.0,22.265,ATL,TAM,W 34-29,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,9%,0,0%,19,66%,False,Russell Gage,True,34,29
2018.0,2018-10-22,7.0,7.0,22.273,ATL,NYG,W 23-20,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,68%,False,Russell Gage,True,23,20
2018.0,2018-11-04,8.0,9.0,22.286,ATL,WAS,W 38-14,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,16,64%,True,Russell Gage,True,38,14
2018.0,2018-11-11,9.0,10.0,22.293,ATL,CLE,L 16-28,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,68%,True,Russell Gage,False,16,28
2018.0,2018-11-18,10.0,11.0,22.3,ATL,DAL,L 19-22,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,62%,False,Russell Gage,False,19,22
2018.0,2018-11-22,11.0,12.0,22.304,ATL,NOR,L 17-31,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,52%,True,Russell Gage,False,17,31
2018.0,2018-12-02,12.0,13.0,22.314,ATL,BAL,L 16-26,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,2%,0,0%,18,64%,False,Russell Gage,False,16,26
2018.0,2018-12-09,13.0,14.0,22.321,ATL,GNB,L 20-34,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,8%,0,0%,18,64%,True,Russell Gage,False,20,34
2018.0,2018-12-16,14.0,15.0,22.328,ATL,ARI,W 40-14,False,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,20,30%,0,0%,24,73%,False,Russell Gage,True,40,14
2018.0,2018-12-23,15.0,16.0,22.335,ATL,CAR,W 24-10,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,17%,0,0%,16,73%,True,Russell Gage,True,24,10
2018.0,2018-12-30,16.0,17.0,22.342,ATL,TAM,W 34-32,False,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,17%,0,0%,21,66%,True,Russell Gage,True,34,32
2019.0,2019-09-08,1.0,1.0,23.229,ATL,MIN,L 12-28,False,2,1,13,13.00,0,50.0%,6.50,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,18%,1,2%,11,50%,True,Russell Gage,False,12,28
2019.0,2019-09-15,2.0,2.0,23.236,ATL,PHI,W 24-20,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,14%,0,0%,13,54%,False,Russell Gage,True,24,20
2019.0,2019-09-22,3.0,3.0,23.243,ATL,IND,L 24-27,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,9,15%,0,0%,18,82%,True,Russell Gage,False,24,27
2019.0,2019-09-29,4.0,4.0,23.25,ATL,TEN,L 10-24,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,14,18%,0,0%,20,87%,False,Russell Gage,False,10,24
2019.0,2019-10-06,5.0,5.0,23.257,ATL,HOU,L 32-53,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,22%,0,0%,31,89%,True,Russell Gage,False,32,53
