Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-09-13,1.0,1.0,22.359,KAN,BAL,L 24-38,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,Ryan Succop,False,24,38
2009.0,2009-09-20,2.0,2.0,23.001,KAN,OAK,L 10-13,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,False,Ryan Succop,False,10,13
2009.0,2009-09-27,3.0,3.0,23.008,KAN,PHI,L 14-34,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,,,,,,,True,Ryan Succop,False,14,34
2009.0,2009-10-04,4.0,4.0,23.015,KAN,NYG,L 16-27,False,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Ryan Succop,False,16,27
2009.0,2009-10-11,5.0,5.0,23.022,KAN,DAL,L 20-26,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Ryan Succop,False,20,26
2009.0,2009-10-18,6.0,6.0,23.029,KAN,WAS,W 14-6,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,True,Ryan Succop,True,14,6
2009.0,2009-10-25,7.0,7.0,23.036,KAN,SDG,L 7-37,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,,0,,,,,,,False,Ryan Succop,False,7,37
2009.0,2009-11-08,8.0,9.0,23.05,KAN,JAX,L 21-24,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,True,Ryan Succop,False,21,24
2009.0,2009-11-15,9.0,10.0,23.057,KAN,OAK,W 16-10,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,True,Ryan Succop,True,16,10
2009.0,2009-11-22,10.0,11.0,23.064,KAN,PIT,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,False,Ryan Succop,True,27,24
