Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-08,1,1,,DEN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,14,Ryan Torain
2008,2008-09-14,2,2,,DEN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,39,38,Ryan Torain
2008,2008-09-21,3,3,,DEN,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,32,Ryan Torain
2008,2008-09-28,4,4,,DEN,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,33,Ryan Torain
2008,2008-10-05,5,5,,DEN,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,13,Ryan Torain
2008,2008-10-12,6,6,,DEN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,24,Ryan Torain
2008,2008-10-20,7,7,,DEN,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,41,Ryan Torain
2008,2008-11-02,8,9,22.084,DEN,MIA,False,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,False,17,26,Ryan Torain
2008,2008-11-06,9,10,22.088,DEN,CLE,True,12,68,5.67,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,True,True,34,30,Ryan Torain
2008,2008-11-16,10,11,,DEN,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,24,20,Ryan Torain
2008,2008-11-23,11,12,,DEN,OAK,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,10,31,Ryan Torain
2008,2008-11-30,12,13,,DEN,NYJ,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,34,17,Ryan Torain
2008,2008-12-07,13,14,,DEN,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,24,17,Ryan Torain
2008,2008-12-14,14,15,,DEN,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,10,30,Ryan Torain
2008,2008-12-21,15,16,,DEN,BUF,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,23,30,Ryan Torain
2008,2008-12-28,16,17,,DEN,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,21,52,Ryan Torain
2010,2010-09-26,3,3,24.047,WAS,STL,False,7,46,6.57,0,1,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,,,,,,,True,False,16,30,Ryan Torain
2010,2010-10-03,4,4,24.054,WAS,PHI,False,18,70,3.89,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,True,True,17,12,Ryan Torain
2010,2010-10-10,5,5,24.061,WAS,GNB,True,16,40,2.50,0,7,4,27,6.75,0,57.1%,3.86,0,0,0,,0,0,0,0,,,,,,,False,True,16,13,Ryan Torain
2010,2010-10-17,6,6,24.068,WAS,IND,True,20,100,5.00,2,1,1,9,9.00,0,100.0%,9.00,2,12,0,,0,0,0,0,,,,,,,False,False,24,27,Ryan Torain
2010,2010-10-24,7,7,24.075,WAS,CHI,True,21,125,5.95,0,2,0,0,,0,0.0%,0.00,0,0,2,1,0,0,0,0,,,,,,,True,True,17,14,Ryan Torain
2010,2010-10-31,8,8,24.082,WAS,DET,True,9,10,1.11,0,4,3,19,6.33,1,75.0%,4.75,1,6,0,,0,0,0,0,,,,,,,True,False,25,37,Ryan Torain
2010,2010-11-15,9,10,,WAS,PHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,28,59,Ryan Torain
2010,2010-11-21,10,11,,WAS,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,19,16,Ryan Torain
2010,2010-11-28,11,12,,WAS,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,17,Ryan Torain
2010,2010-12-05,12,13,,WAS,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,31,Ryan Torain
2010,2010-12-12,13,14,24.124,WAS,TAM,True,24,172,7.17,0,2,2,10,5.00,0,100.0%,5.00,0,0,0,,0,0,0,0,,,,,,,False,False,16,17,Ryan Torain
2010,2010-12-19,14,15,24.131,WAS,DAL,True,11,53,4.82,0,6,5,48,9.60,1,83.3%,8.00,1,6,0,,0,0,0,0,,,,,,,True,False,30,33,Ryan Torain
2010,2010-12-26,15,16,24.138,WAS,JAX,True,20,65,3.25,1,3,2,4,2.00,0,66.7%,1.33,1,6,0,,0,0,0,0,,,,,,,True,True,20,17,Ryan Torain
