Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2006.0,2006-09-10,1.0,1.0,24.028,BAL,TAM,W 27-0,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,6,282,47.00,0,,,,,,,True,Sam Koch,True,27,0
2006.0,2006-09-17,2.0,2.0,24.035,BAL,OAK,W 28-6,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,7,303,43.29,0,,,,,,,False,Sam Koch,True,28,6
2006.0,2006-09-24,3.0,3.0,24.042,BAL,CLE,W 15-14,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,6,235,39.17,0,,,,,,,True,Sam Koch,True,15,14
2006.0,2006-10-01,4.0,4.0,24.049,BAL,SDG,W 16-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,7,336,48.00,0,,,,,,,False,Sam Koch,True,16,13
2006.0,2006-10-09,5.0,5.0,24.057,BAL,DEN,L 3-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,6,253,42.17,0,,,,,,,True,Sam Koch,False,3,13
2006.0,2006-10-15,6.0,6.0,24.063,BAL,CAR,L 21-23,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,5,216,43.20,0,,,,,,,False,Sam Koch,False,21,23
2006.0,2006-10-29,7.0,8.0,24.077,BAL,NOR,W 35-22,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,6,259,43.17,0,,,,,,,True,Sam Koch,True,35,22
2006.0,2006-11-05,8.0,9.0,24.084,BAL,CIN,W 26-20,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,4,182,45.50,0,,,,,,,False,Sam Koch,True,26,20
2006.0,2006-11-12,9.0,10.0,24.091,BAL,TEN,W 27-26,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,5,194,38.80,0,,,,,,,True,Sam Koch,True,27,26
2006.0,2006-11-19,10.0,11.0,24.098,BAL,ATL,W 24-10,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,4,146,36.50,0,,,,,,,False,Sam Koch,True,24,10
2006.0,2006-11-26,11.0,12.0,24.105,BAL,PIT,W 27-0,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,6,259,43.17,0,,,,,,,False,Sam Koch,True,27,0
2006.0,2006-11-30,12.0,13.0,24.109,BAL,CIN,L 7-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,7,330,47.14,0,,,,,,,True,Sam Koch,False,7,13
2006.0,2006-12-10,13.0,14.0,24.119,BAL,KAN,W 20-10,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,4,162,40.50,0,,,,,,,True,Sam Koch,True,20,10
