Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,21.359,WAS,,PHI,L 17-30,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,38%,False,Samaje Perine
2017,2017-09-17,2,2,22.001,WAS,@,LAR,W 27-20,False,21,67,3.19,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,37%,0,0%,10,32%,True,Samaje Perine
2017,2017-09-24,3,3,22.008,WAS,,OAK,W 27-10,True,19,49,2.58,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,30,44%,0,0%,0,0%,False,Samaje Perine
2017,2017-10-02,4,4,22.016,WAS,@,KAN,L 20-29,False,6,27,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,24%,0,0%,6,21%,True,Samaje Perine
2017,2017-10-15,5,6,22.029,WAS,,SFO,W 26-24,False,9,23,2.56,0,3,3,24,8.00,1,100.0%,8.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,34%,0,0%,1,3%,False,Samaje Perine
2017,2017-10-23,6,7,22.037,WAS,@,PHI,L 24-34,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,31%,True,Samaje Perine
2017,2017-10-29,7,8,22.043,WAS,,DAL,L 19-33,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,45%,False,Samaje Perine
2017,2017-11-05,8,9,22.050,WAS,@,SEA,W 17-14,False,2,9,4.50,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,11,39%,True,Samaje Perine
2017,2017-11-12,9,10,22.057,WAS,,MIN,L 30-38,False,9,35,3.89,0,1,1,25,25.00,0,100.0%,25.00,1,28,28.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,27%,0,0%,10,34%,False,Samaje Perine
2017,2017-11-19,10,11,22.064,WAS,@,NOR,L 31-34,True,23,117,5.09,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,70%,0,0%,7,21%,True,Samaje Perine
2017,2017-11-23,11,12,22.068,WAS,,NYG,W 20-10,True,24,100,4.17,0,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,70%,0,0%,0,0%,False,Samaje Perine
2017,2017-11-30,12,13,22.075,WAS,@,DAL,L 14-38,True,12,38,3.17,0,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,1,0,0,34,57%,0,0%,0,0%,True,Samaje Perine
2017,2017-12-10,13,14,22.085,WAS,@,LAC,L 13-30,True,17,45,2.65,0,4,4,7,1.75,0,100.0%,1.75,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,80%,0,0%,0,0%,True,Samaje Perine
2017,2017-12-17,14,15,22.092,WAS,,ARI,W 20-15,True,14,37,2.64,0,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,63%,0,0%,0,0%,False,Samaje Perine
2017,2017-12-24,15,16,22.099,WAS,,DEN,W 27-11,True,17,53,3.12,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,34,51%,0,0%,0,0%,False,Samaje Perine
2017,2017-12-31,16,17,22.106,WAS,@,NYG,L 10-18,True,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,4%,0,0%,0,0%,True,Samaje Perine
2018,2018-09-09,1,1,,WAS,@,ARI,W 24-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Samaje Perine
