Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-07,1,1,22.188,PIT,MIA,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,2,49,24.50,0,1,2,2.00,0,,0,0,0,,0,0,0,0,,,,,,,False,True,28,17,Santonio Holmes
2006,2006-09-18,2,2,22.199,PIT,JAX,False,4,1,15,15.00,0,25.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,2,36,18.00,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,0,9,Santonio Holmes
2006,2006-09-24,3,3,22.205,PIT,CIN,False,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,1,26,26.00,0,1,14,14.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,20,28,Santonio Holmes
2006,2006-10-08,4,5,22.219,PIT,SDG,False,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,3,71,23.67,0,1,1,1.00,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,23,Santonio Holmes
2006,2006-10-15,5,6,22.226,PIT,KAN,False,3,2,58,29.00,0,66.7%,19.33,1,13,13.00,0,0,0,,0,0,0,,,,,,2,54,27.00,0,5,55,11.00,0,,0,0,2,0,0,0,0,0,,,,,,,False,True,45,7,Santonio Holmes
2006,2006-10-22,6,7,22.233,PIT,ATL,False,6,5,91,18.20,0,83.3%,15.17,0,0,,0,0,0,,0,0,0,,,,,,3,88,29.33,0,1,0,0.00,0,,0,0,1,1,0,0,0,0,,,,,,,True,False,38,41,Santonio Holmes
2006,2006-10-29,7,8,22.240,PIT,OAK,False,4,2,43,21.50,0,50.0%,10.75,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0,2,15,7.50,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,20,Santonio Holmes
2006,2006-11-05,8,9,22.247,PIT,DEN,False,7,6,58,9.67,0,85.7%,8.29,0,0,,0,0,0,,0,0,0,,,,,,2,48,24.00,0,1,5,5.00,0,,0,0,2,1,0,0,0,0,,,,,,,False,False,20,31,Santonio Holmes
2006,2006-11-12,9,10,22.254,PIT,NOR,False,3,2,57,28.50,0,66.7%,19.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,38,31,Santonio Holmes
2006,2006-11-19,10,11,22.261,PIT,CLE,False,10,5,75,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,13,6.50,0,,1,6,0,,0,0,0,0,,,,,,,True,True,24,20,Santonio Holmes
