Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-14,1.0,1.0,,MIN,SFO,L 3-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Stefon Diggs,False,3,20
2015.0,2015-09-20,2.0,2.0,,MIN,DET,W 26-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Stefon Diggs,True,26,16
2015.0,2015-09-27,3.0,3.0,,MIN,SDG,W 31-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Stefon Diggs,True,31,14
2015.0,2015-10-04,4.0,4.0,21.309,MIN,DEN,L 20-23,False,10,6,87,14.50,0,60.0%,8.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,41,56%,0,0%,0,0%,True,Stefon Diggs,False,20,23
2015.0,2015-10-18,5.0,6.0,21.323,MIN,KAN,W 16-10,True,9,7,129,18.43,0,77.8%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,81%,0,0%,2,8%,False,Stefon Diggs,True,16,10
2015.0,2015-10-25,6.0,7.0,21.33,MIN,DET,W 28-19,True,9,6,108,18.00,1,66.7%,12.00,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,80%,0,0%,0,0%,True,Stefon Diggs,True,28,19
2015.0,2015-11-01,7.0,8.0,21.337,MIN,CHI,W 23-20,True,12,6,95,15.83,1,50.0%,7.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,84%,0,0%,0,0%,True,Stefon Diggs,True,23,20
2015.0,2015-11-08,8.0,9.0,21.344,MIN,STL,W 21-18,True,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,65%,0,0%,1,3%,False,Stefon Diggs,True,21,18
2015.0,2015-11-15,9.0,10.0,21.351,MIN,OAK,W 30-14,True,2,2,46,23.00,0,100.0%,23.00,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,73%,0,0%,0,0%,True,Stefon Diggs,True,30,14
2015.0,2015-11-22,10.0,11.0,21.358,MIN,GNB,L 13-30,True,9,6,66,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,86%,0,0%,1,3%,False,Stefon Diggs,False,13,30
