Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2006,2006-09-10,1,1,22.225,NWE,,BUF,W 19-17,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-09-17,2,2,22.232,NWE,@,NYJ,W 24-17,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-09-24,3,3,22.239,NWE,,DEN,L 7-17,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-10-01,4,4,22.246,NWE,@,CIN,W 38-13,False,5,5,100.0,1,2,50.0,0,8,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-10-08,5,5,22.253,NWE,,MIA,W 20-10,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-10-22,6,7,22.267,NWE,@,BUF,W 28-6,False,4,4,100.0,,,,0,4,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-10-30,7,8,22.275,NWE,@,MIN,W 31-7,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-11-05,8,9,22.281,NWE,,IND,L 20-27,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-11-12,9,10,22.288,NWE,,NYJ,L 14-17,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-11-19,10,11,22.295,NWE,@,GNB,W 35-0,False,5,5,100.0,,,,0,5,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-11-26,11,12,22.302,NWE,,CHI,W 17-13,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-12-03,12,13,22.309,NWE,,DET,W 28-21,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-12-10,13,14,22.316,NWE,@,MIA,L 0-21,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-12-17,14,15,22.323,NWE,,HOU,W 40-7,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2006,2006-12-24,15,16,22.330,NWE,@,JAX,W 24-21,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2006,2006-12-31,16,17,22.337,NWE,@,TEN,W 40-23,False,4,5,80.0,2,3,66.7,0,10,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-09-09,1,1,23.224,NWE,@,NYJ,W 38-14,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-09-16,2,2,23.231,NWE,,SDG,W 38-14,False,5,5,100.0,1,2,50.0,0,8,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-09-23,3,3,23.238,NWE,,BUF,W 38-7,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-10-01,4,4,23.246,NWE,@,CIN,W 34-13,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-10-07,5,5,23.252,NWE,,CLE,W 34-17,False,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-10-14,6,6,23.259,NWE,@,DAL,W 48-27,False,6,6,100.0,2,2,100.0,0,12,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-10-21,7,7,23.266,NWE,@,MIA,W 49-28,False,7,7,100.0,,,,0,7,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-10-28,8,8,23.273,NWE,,WAS,W 52-7,False,7,7,100.0,1,1,100.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-11-04,9,9,23.280,NWE,@,IND,W 24-20,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-11-18,10,11,23.294,NWE,@,BUF,W 56-10,False,8,8,100.0,,,,0,8,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-11-25,11,12,23.301,NWE,,PHI,W 31-28,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-12-03,12,13,23.309,NWE,@,BAL,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2007,2007-12-09,13,14,23.315,NWE,,PIT,W 34-13,False,4,4,100.0,2,3,66.7,0,10,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-12-16,14,15,23.322,NWE,,NYJ,W 20-10,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-12-23,15,16,23.329,NWE,,MIA,W 28-7,False,4,4,100.0,,,,0,4,0.0,,,,,,0,,,0,0,0,,,,,,,False,Stephen Gostkowski
2007,2007-12-29,16,17,23.335,NWE,@,NYG,W 38-35,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-09-07,1,1,24.223,NWE,,KAN,W 17-10,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-09-14,2,2,24.230,NWE,@,NYJ,W 19-10,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-09-21,3,3,24.237,NWE,,MIA,L 13-38,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-10-05,4,5,24.251,NWE,@,SFO,W 30-21,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-10-12,5,6,24.258,NWE,@,SDG,L 10-30,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-10-20,6,7,24.266,NWE,,DEN,W 41-7,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-10-26,7,8,24.272,NWE,,STL,W 23-16,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-11-02,8,9,24.279,NWE,@,IND,L 15-18,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-11-09,9,10,24.286,NWE,,BUF,W 20-10,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-11-13,10,11,24.290,NWE,,NYJ,L 31-34,False,2,2,100.0,3,3,100.0,0,11,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-11-23,11,12,24.300,NWE,@,MIA,W 48-28,False,6,6,100.0,2,2,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-11-30,12,13,24.307,NWE,,PIT,L 10-33,False,1,1,100.0,1,2,50.0,0,4,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-12-07,13,14,24.314,NWE,@,SEA,W 24-21,False,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-12-14,14,15,24.321,NWE,@,OAK,W 49-26,False,7,7,100.0,,,,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2008,2008-12-21,15,16,24.328,NWE,,ARI,W 47-7,False,5,5,100.0,4,4,100.0,0,17,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2008,2008-12-28,16,17,24.335,NWE,@,BUF,W 13-0,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-09-14,1,1,25.229,NWE,,BUF,W 25-24,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-09-20,2,2,25.235,NWE,@,NYJ,L 9-16,False,,,,3,3,100.0,0,9,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-09-27,3,3,25.242,NWE,,ATL,W 26-10,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-10-04,4,4,25.249,NWE,,BAL,W 27-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-10-11,5,5,25.256,NWE,@,DEN,L 17-20,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-10-18,6,6,25.263,NWE,,TEN,W 59-0,False,8,8,100.0,1,2,50.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-10-25,7,7,25.270,NWE,@,TAM,W 35-7,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-11-08,8,9,25.284,NWE,,MIA,W 27-17,False,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-11-15,9,10,25.291,NWE,@,IND,L 34-35,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-11-22,10,11,25.298,NWE,,NYJ,W 31-14,False,4,4,100.0,1,2,50.0,0,7,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-11-30,11,12,25.306,NWE,@,NOR,L 17-38,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-12-06,12,13,25.312,NWE,@,MIA,L 21-22,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-12-13,13,14,25.319,NWE,,CAR,W 20-10,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2009-12-20,14,15,25.326,NWE,@,BUF,W 17-10,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2009,2009-12-27,15,16,25.333,NWE,,JAX,W 35-7,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2009,2010-01-03,16,17,25.340,NWE,@,HOU,L 27-34,False,3,3,100.0,2,2,100.0,0,9,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2010,2010-09-12,1,1,26.227,NWE,,CIN,W 38-24,False,5,5,100.0,1,3,33.3,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2010,2010-09-19,2,2,26.234,NWE,@,NYJ,L 14-28,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2010,2010-09-26,3,3,26.241,NWE,,BUF,W 38-30,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2010,2010-10-04,4,4,26.249,NWE,@,MIA,W 41-14,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2010,2010-10-17,5,6,26.262,NWE,,BAL,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2010,2010-10-24,6,7,26.269,NWE,@,SDG,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2010,2010-10-31,7,8,26.276,NWE,,MIN,W 28-18,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2010,2010-11-07,8,9,26.283,NWE,@,CLE,L 14-34,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2010,2010-11-14,9,10,,NWE,@,PIT,W 39-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Stephen Gostkowski
2010,2010-11-21,10,11,,NWE,,IND,W 31-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Stephen Gostkowski
2010,2010-11-25,11,12,,NWE,@,DET,W 45-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Stephen Gostkowski
2010,2010-12-06,12,13,,NWE,,NYJ,W 45-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Stephen Gostkowski
2010,2010-12-12,13,14,,NWE,@,CHI,W 36-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Stephen Gostkowski
2010,2010-12-19,14,15,,NWE,,GNB,W 31-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Stephen Gostkowski
2010,2010-12-26,15,16,,NWE,@,BUF,W 34-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Stephen Gostkowski
2010,2011-01-02,16,17,,NWE,,MIA,W 38-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Stephen Gostkowski
2011,2011-09-12,1,1,27.227,NWE,@,MIA,W 38-24,False,5,5,100.0,1,2,50.0,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-09-18,2,2,27.233,NWE,,SDG,W 35-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-09-25,3,3,27.240,NWE,@,BUF,L 31-34,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-10-02,4,4,27.247,NWE,@,OAK,W 31-19,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-10-09,5,5,27.254,NWE,,NYJ,W 30-21,False,3,3,100.0,3,3,100.0,0,12,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-10-16,6,6,27.261,NWE,,DAL,W 20-16,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-10-30,7,8,27.275,NWE,@,PIT,L 17-25,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-11-06,8,9,27.282,NWE,,NYG,L 20-24,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-11-13,9,10,27.289,NWE,@,NYJ,W 37-16,False,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
