Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,23.214,NYG,DAL,W 20-19,True,4,3,43,14.33,1,75.0%,10.75,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,True,Sterling Shepard,True,20,19
2016.0,2016-09-18,2.0,2.0,23.221,NYG,NOR,W 16-13,True,8,8,117,14.63,0,100.0%,14.63,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,75,95%,0,0%,0,0%,False,Sterling Shepard,True,16,13
2016.0,2016-09-25,3.0,3.0,23.228,NYG,WAS,L 27-29,True,7,5,73,14.60,1,71.4%,10.43,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,99%,0,0%,0,0%,False,Sterling Shepard,False,27,29
2016.0,2016-10-03,4.0,4.0,23.236,NYG,MIN,L 10-24,True,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,94%,0,0%,0,0%,True,Sterling Shepard,False,10,24
2016.0,2016-10-09,5.0,5.0,23.242,NYG,GNB,L 16-23,True,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,Sterling Shepard,False,16,23
2016.0,2016-10-16,6.0,6.0,23.249,NYG,BAL,W 27-23,True,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,False,Sterling Shepard,True,27,23
2016.0,2016-10-23,7.0,7.0,23.256,NYG,LAR,W 17-10,True,7,5,32,6.40,0,71.4%,4.57,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,95%,0,0%,1,4%,True,Sterling Shepard,True,17,10
2016.0,2016-11-06,8.0,9.0,23.27,NYG,PHI,W 28-23,True,6,3,50,16.67,1,50.0%,8.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,92%,0,0%,0,0%,False,Sterling Shepard,True,28,23
2016.0,2016-11-14,9.0,10.0,23.278,NYG,CIN,W 21-20,True,7,5,42,8.40,1,71.4%,6.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,71,95%,0,0%,1,3%,False,Sterling Shepard,True,21,20
2016.0,2016-11-20,10.0,11.0,23.284,NYG,CHI,W 22-16,True,11,5,50,10.00,1,45.5%,4.55,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,0,0%,False,Sterling Shepard,True,22,16
2016.0,2016-11-27,11.0,12.0,23.291,NYG,CLE,W 27-13,True,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,91%,0,0%,0,0%,True,Sterling Shepard,True,27,13
2016.0,2016-12-04,12.0,13.0,23.298,NYG,PIT,L 14-24,True,8,4,21,5.25,1,50.0%,2.63,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,100%,0,0%,0,0%,True,Sterling Shepard,False,14,24
2016.0,2016-12-11,13.0,14.0,23.305,NYG,DAL,W 10-7,True,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,91%,0,0%,0,0%,False,Sterling Shepard,True,10,7
2016.0,2016-12-18,14.0,15.0,23.312,NYG,DET,W 17-6,True,5,4,56,14.00,1,80.0%,11.20,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,95%,0,0%,0,0%,False,Sterling Shepard,True,17,6
2016.0,2016-12-22,15.0,16.0,23.316,NYG,PHI,L 19-24,True,11,7,61,8.71,1,63.6%,5.55,1,2,2.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,88,99%,0,0%,0,0%,True,Sterling Shepard,False,19,24
2016.0,2017-01-01,16.0,17.0,23.326,NYG,WAS,W 19-10,True,5,3,30,10.00,0,60.0%,6.00,1,7,7.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,86%,0,0%,0,0%,True,Sterling Shepard,True,19,10
2017.0,2017-09-10,1.0,1.0,24.212,NYG,DAL,L 3-19,True,8,7,44,6.29,0,87.5%,5.50,1,6,6.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,57,100%,0,0%,0,0%,True,Sterling Shepard,False,3,19
2017.0,2017-09-18,2.0,2.0,24.22,NYG,DET,L 10-24,True,4,2,23,11.50,0,50.0%,5.75,2,7,3.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,False,Sterling Shepard,False,10,24
2017.0,2017-09-24,3.0,3.0,24.226,NYG,PHI,L 24-27,True,10,7,133,19.00,1,70.0%,13.30,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,True,Sterling Shepard,False,24,27
