Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-12,1,1,22.228,NWE,MIA,False,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,38,24,Stevan Ridley
2011,2011-09-18,2,2,22.234,NWE,SDG,False,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,35,21,Stevan Ridley
2011,2011-09-25,3,3,22.241,NWE,BUF,False,6,42,7.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,31,34,Stevan Ridley
2011,2011-10-02,4,4,22.248,NWE,OAK,False,10,97,9.70,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,19,Stevan Ridley
2011,2011-10-09,5,5,22.255,NWE,NYJ,False,7,13,1.86,0,0,0,0,,0,0.0%,,3,71,23.67,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,30,21,Stevan Ridley
2011,2011-10-16,6,6,22.262,NWE,DAL,True,3,19,6.33,0,0,0,0,,0,0.0%,,4,81,20.25,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,16,Stevan Ridley
2011,2011-10-30,7,8,22.276,NWE,PIT,False,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,17,25,Stevan Ridley
2011,2011-11-06,8,9,22.283,NWE,NYG,False,3,10,3.33,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,24,Stevan Ridley
2011,2011-11-13,9,10,22.290,NWE,NYJ,False,5,4,0.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,37,16,Stevan Ridley
2011,2011-11-21,10,11,22.298,NWE,KAN,False,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,3,Stevan Ridley
2011,2011-11-27,11,12,22.304,NWE,PHI,False,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,20,Stevan Ridley
2011,2011-12-04,12,13,22.311,NWE,IND,False,8,33,4.13,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,24,Stevan Ridley
2011,2011-12-11,13,14,22.318,NWE,WAS,False,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,34,27,Stevan Ridley
2011,2011-12-18,14,15,22.325,NWE,DEN,False,11,65,5.91,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,23,Stevan Ridley
2011,2011-12-24,15,16,22.331,NWE,MIA,False,13,64,4.92,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,24,Stevan Ridley
2011,2012-01-01,16,17,22.339,NWE,BUF,True,15,81,5.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,49,21,Stevan Ridley
2012,2012-09-09,1,1,23.226,NWE,TEN,True,21,125,5.95,1,3,2,27,13.50,0,66.7%,9.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,60%,0,0%,0,0%,True,True,34,13,Stevan Ridley
2012,2012-09-16,2,2,23.233,NWE,ARI,True,18,71,3.94,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,54%,0,0%,0,0%,False,False,18,20,Stevan Ridley
2012,2012-09-23,3,3,23.240,NWE,BAL,True,13,37,2.85,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,30%,0,0%,0,0%,True,False,30,31,Stevan Ridley
2012,2012-09-30,4,4,23.247,NWE,BUF,True,22,106,4.82,2,0,0,0,,0,0.0%,,0,0,,0,2,12,0.0,1,0,1,,,1,0,0,0,0,0,34,44%,0,0%,0,0%,True,True,52,28,Stevan Ridley
2012,2012-10-07,5,5,23.254,NWE,DEN,False,28,151,5.39,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,43,45%,0,0%,0,0%,False,True,31,21,Stevan Ridley
2012,2012-10-14,6,6,23.261,NWE,SEA,False,16,34,2.13,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,41%,0,0%,1,4%,True,False,23,24,Stevan Ridley
2012,2012-10-21,7,7,23.268,NWE,NYJ,False,17,65,3.82,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,39%,0,0%,0,0%,False,True,29,26,Stevan Ridley
