Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2001,2001-09-09,1,1,22.120,CAR,@,MIN,W 24-13,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,3,134,44.67,1,3,25,8.33,0,,1,6,0,,0,0,0,0,,,,,,,True,Steve Smith Sr.
2001,2001-09-23,2,2,22.134,CAR,@,ATL,L 16-24,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,41,20.50,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Steve Smith Sr.
2001,2001-09-30,3,3,22.141,CAR,,GNB,L 7-28,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,4,71,17.75,0,1,0,0.00,0,,0,0,2,2,0,1,2,0,,,,,,,False,Steve Smith Sr.
2001,2001-10-07,4,4,22.148,CAR,@,SFO,L 14-24,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,85,21.25,0,3,13,4.33,0,,0,0,1,0,0,1,0,0,,,,,,,True,Steve Smith Sr.
2001,2001-10-14,5,5,22.155,CAR,,NOR,L 25-27,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,4,104,26.00,0,5,102,20.40,1,,1,6,1,0,0,0,0,0,,,,,,,False,Steve Smith Sr.
2001,2001-10-21,6,6,22.162,CAR,@,WAS,L 14-17,False,0,0,0,,0,0.0%,,1,-8,-8.00,0,0,0,,0,0,0,,,,,,2,27,13.50,0,3,46,15.33,0,,0,0,0,,0,0,0,0,,,,,,,True,Steve Smith Sr.
2001,2001-10-28,7,7,,CAR,,NYJ,L 12-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Steve Smith Sr.
2001,2001-11-04,8,8,22.176,CAR,@,MIA,L 6-23,False,1,1,29,29.00,0,100.0%,29.00,1,10,10.00,0,0,0,,0,0,0,,,,,,5,113,22.60,0,2,12,6.00,0,,0,0,0,,0,0,0,0,,,,,,,True,Steve Smith Sr.
2001,2001-11-11,9,9,22.183,CAR,@,STL,L 14-48,False,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,,,,,,7,252,36.00,1,1,15,15.00,0,,1,6,0,,0,0,0,0,,,,,,,True,Steve Smith Sr.
2001,2001-11-18,10,10,22.190,CAR,,SFO,L 22-25,False,1,0,0,,0,0.0%,0.00,1,39,39.00,0,0,0,,0,0,0,,,,,,0,0,,0,5,52,10.40,0,,0,0,1,0,0,1,0,0,,,,,,,False,Steve Smith Sr.
