Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-10,1,1,23.267,NOR,CLE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,3,135,45.00,0,,,,,,,True,True,19,14,Steve Weatherford
2006,2006-09-17,2,2,23.274,NOR,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,4,186,46.50,0,,,,,,,True,True,34,27,Steve Weatherford
2006,2006-09-25,3,3,23.282,NOR,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,6,245,40.83,0,,,,,,,False,True,23,3,Steve Weatherford
2006,2006-10-01,4,4,23.288,NOR,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,230,46.00,0,,,,,,,True,False,18,21,Steve Weatherford
2006,2006-10-08,5,5,23.295,NOR,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,8,358,44.75,0,,,,,,,False,True,24,21,Steve Weatherford
2006,2006-10-15,6,6,23.302,NOR,PHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,235,47.00,0,,,,,,,False,True,27,24,Steve Weatherford
2006,2006-10-29,7,8,23.316,NOR,BAL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,2,89,44.50,0,,,,,,,False,False,22,35,Steve Weatherford
2006,2006-11-05,8,9,23.323,NOR,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,6,242,40.33,0,,,,,,,True,True,31,14,Steve Weatherford
2006,2006-11-12,9,10,23.330,NOR,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,2,79,39.50,0,,,,,,,True,False,31,38,Steve Weatherford
2006,2006-11-19,10,11,23.337,NOR,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,186,37.20,0,,,,,,,False,False,16,31,Steve Weatherford
2006,2006-11-26,11,12,23.344,NOR,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,6,265,44.17,0,,,,,,,True,True,31,13,Steve Weatherford
2006,2006-12-03,12,13,23.351,NOR,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,210,42.00,0,,,,,,,False,True,34,10,Steve Weatherford
2006,2006-12-10,13,14,23.358,NOR,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,4,191,47.75,0,,,,,,,True,True,42,17,Steve Weatherford
2006,2006-12-17,14,15,24.000,NOR,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,6,281,46.83,0,,,,,,,False,False,10,16,Steve Weatherford
2006,2006-12-24,15,16,24.007,NOR,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,213,42.60,0,,,,,,,True,True,30,7,Steve Weatherford
2006,2006-12-31,16,17,24.014,NOR,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,224,44.80,0,,,,,,,False,False,21,31,Steve Weatherford
2007,2007-09-06,1,1,24.263,NOR,IND,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,242,48.40,0,,,,,,,True,False,10,41,Steve Weatherford
2007,2007-09-16,2,2,24.273,NOR,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,4,177,44.25,0,,,,,,,True,False,14,31,Steve Weatherford
2007,2007-09-24,3,3,24.281,NOR,TEN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,3,160,53.33,0,,,,,,,False,False,14,31,Steve Weatherford
2007,2007-10-07,4,5,24.294,NOR,CAR,False,1,5,5.00,0,0,0,,0,0,0,,,,,,0.0,,,,,,2,78,39.00,0,,,,,,,False,False,13,16,Steve Weatherford
2007,2007-10-14,5,6,24.301,NOR,SEA,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,6,259,43.17,0,,,,,,,True,True,28,17,Steve Weatherford
2007,2007-10-21,6,7,24.308,NOR,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,194,38.80,0,,,,,,,False,True,22,16,Steve Weatherford
2007,2007-10-28,7,8,24.315,NOR,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,4,159,39.75,0,,,,,,,True,True,31,10,Steve Weatherford
2007,2007-11-04,8,9,24.322,NOR,JAX,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,3,133,44.33,0,,,,,,,False,True,41,24,Steve Weatherford
2007,2007-11-11,9,10,24.329,NOR,STL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,3,129,43.00,0,,,,,,,False,False,29,37,Steve Weatherford
2007,2007-11-18,10,11,24.336,NOR,HOU,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,3,144,48.00,0,,,,,,,True,False,10,23,Steve Weatherford
2007,2007-11-25,11,12,24.343,NOR,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,213,42.60,0,,,,,,,True,True,31,6,Steve Weatherford
2007,2007-12-02,12,13,24.350,NOR,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,6,257,42.83,0,,,,,,,False,False,23,27,Steve Weatherford
2007,2007-12-10,13,14,24.358,NOR,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,3,116,38.67,0,,,,,,,True,True,34,14,Steve Weatherford
2007,2007-12-16,14,15,24.364,NOR,ARI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,2,97,48.50,0,,,,,,,False,True,31,24,Steve Weatherford
2007,2007-12-23,15,16,25.006,NOR,PHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,4,194,48.50,0,,,,,,,False,False,23,38,Steve Weatherford
2007,2007-12-30,16,17,25.013,NOR,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,5,205,41.00,0,,,,,,,True,False,25,33,Steve Weatherford
2008,2008-09-07,1,1,25.265,NOR,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,7,310,44.29,0,,,,,,,False,True,24,20,Steve Weatherford
2008,2008-09-14,2,2,25.272,NOR,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,5,223,44.60,0,,,,,,,True,False,24,29,Steve Weatherford
2008,2008-09-21,3,3,25.279,NOR,DEN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,2,114,57.00,0,,,,,,,True,False,32,34,Steve Weatherford
2008,2008-09-28,4,4,25.286,NOR,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,3,92,30.67,0,,,,,,,False,True,31,17,Steve Weatherford
2008,2008-10-06,5,5,25.294,NOR,MIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,2,86,43.00,0,,,,,,,False,False,27,30,Steve Weatherford
2008,2008-10-12,6,6,25.300,NOR,OAK,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,2,92,46.00,0,,,,,,,False,True,34,3,Steve Weatherford
2008,2008-10-19,7,7,25.307,NOR,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,5,177,35.40,0,,,,,,,True,False,7,30,Steve Weatherford
2008,2008-10-26,7,8,25.314,KAN,NYJ,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,7,289,41.29,0,,,,,,,True,False,24,28,Steve Weatherford
2008,2008-11-02,8,9,25.321,KAN,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,5,223,44.60,0,,,,,,,False,False,27,30,Steve Weatherford
2008,2008-12-01,12,13,25.350,JAX,HOU,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,3,121,40.33,0,,,,,,,True,False,17,30,Steve Weatherford
2008,2008-12-07,13,14,25.356,JAX,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,7,281,40.14,0,,,,,,,True,False,10,23,Steve Weatherford
2008,2008-12-14,14,15,25.363,JAX,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,4,198,49.50,0,,,,,,,False,True,20,16,Steve Weatherford
2008,2008-12-18,15,16,26.001,JAX,IND,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,3,129,43.00,0,,,,,,,False,False,24,31,Steve Weatherford
2008,2008-12-28,16,17,26.011,JAX,BAL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,0,0,4,186,46.50,0,,,,,,,True,False,7,27,Steve Weatherford
2009,2009-09-13,1,1,26.270,NYJ,HOU,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,4,164,41.00,0,,,,,,,True,True,24,7,Steve Weatherford
2009,2009-09-20,2,2,26.277,NYJ,NWE,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,5,209,41.80,0,,,,,,,False,True,16,9,Steve Weatherford
2009,2009-09-27,3,3,26.284,NYJ,TEN,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,9,360,40.00,0,,,,,,,False,True,24,17,Steve Weatherford
2009,2009-10-04,4,4,26.291,NYJ,NOR,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,6,252,42.00,0,,,,,,,True,False,10,24,Steve Weatherford
2009,2009-10-12,5,5,26.299,NYJ,MIA,False,1,26,26.00,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,4,199,49.75,0,,,,,,,True,False,27,31,Steve Weatherford
2009,2009-10-18,6,6,26.305,NYJ,BUF,False,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0.0,1,0,1,0,0,5,216,43.20,0,,,,,,,False,False,13,16,Steve Weatherford
2009,2009-10-25,7,7,26.312,NYJ,OAK,False,1,16,16.00,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,3,132,44.00,0,,,,,,,True,True,38,0,Steve Weatherford
2009,2009-11-01,8,8,26.319,NYJ,MIA,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,7,254,36.29,0,,,,,,,False,False,25,30,Steve Weatherford
2009,2009-11-15,9,10,26.333,NYJ,JAX,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,2,101,50.50,0,,,,,,,False,False,22,24,Steve Weatherford
2009,2009-11-22,10,11,26.340,NYJ,NWE,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,5,213,42.60,0,,,,,,,True,False,14,31,Steve Weatherford
2009,2009-11-29,11,12,26.347,NYJ,CAR,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,1,0,1,0,0,5,254,50.80,0,,,,,,,False,True,17,6,Steve Weatherford
2009,2009-12-03,12,13,26.351,NYJ,BUF,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,7,283,40.43,0,,,,,,,True,True,19,13,Steve Weatherford
2009,2009-12-13,13,14,26.361,NYJ,TAM,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,5,207,41.40,0,,,,,,,True,True,26,3,Steve Weatherford
2009,2009-12-20,14,15,27.003,NYJ,ATL,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,5,170,34.00,0,,,,,,,False,False,7,10,Steve Weatherford
2009,2009-12-27,15,16,27.010,NYJ,IND,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,,,5,213,42.60,0,,,,,,,True,True,29,15,Steve Weatherford
2009,2010-01-03,16,17,27.017,NYJ,CIN,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,1,0,1,0,0,3,130,43.33,0,,,,,,,False,True,37,0,Steve Weatherford
2010,2010-09-13,1,1,27.270,NYJ,BAL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,6,274,45.67,0,,,,,,,False,False,9,10,Steve Weatherford
2010,2010-09-19,2,2,27.276,NYJ,NWE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,4,205,51.25,0,,,,,,,False,True,28,14,Steve Weatherford
2010,2010-09-26,3,3,27.283,NYJ,MIA,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,4,168,42.00,0,,,,,,,True,True,31,23,Steve Weatherford
2010,2010-10-03,4,4,27.290,NYJ,BUF,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,6,241,40.17,0,,,,,,,True,True,38,14,Steve Weatherford
2010,2010-10-11,5,5,27.298,NYJ,MIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,7,324,46.29,0,,,,,,,False,True,29,20,Steve Weatherford
2010,2010-10-17,6,6,27.304,NYJ,DEN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,5,243,48.60,0,,,,,,,True,True,24,20,Steve Weatherford
2010,2010-10-31,7,8,27.318,NYJ,GNB,False,1,17,17.00,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,5,216,43.20,0,,,,,,,False,False,0,9,Steve Weatherford
2010,2010-11-07,8,9,27.325,NYJ,DET,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,7,295,42.14,0,,,,,,,True,True,23,20,Steve Weatherford
2010,2010-11-14,9,10,27.332,NYJ,CLE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,3,116,38.67,0,,,,,,,True,True,26,20,Steve Weatherford
2010,2010-11-21,10,11,27.339,NYJ,HOU,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,4,190,47.50,0,,,,,,,False,True,30,27,Steve Weatherford
2010,2010-11-25,11,12,27.343,NYJ,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,8,354,44.25,0,,,,,,,False,True,26,10,Steve Weatherford
2010,2010-12-06,12,13,27.354,NYJ,NWE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,3,92,30.67,0,,,,,,,True,False,3,45,Steve Weatherford
2010,2010-12-12,13,14,27.360,NYJ,MIA,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,8,307,38.38,0,,,,,,,False,False,6,10,Steve Weatherford
2010,2010-12-19,14,15,28.002,NYJ,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,4,147,36.75,0,,,,,,,True,True,22,17,Steve Weatherford
2010,2010-12-26,15,16,28.009,NYJ,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,4,161,40.25,0,,,,,,,True,False,34,38,Steve Weatherford
2010,2011-01-02,16,17,28.016,NYJ,BUF,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,6,248,41.33,0,,,,,,,False,True,38,7,Steve Weatherford
