Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,21.346,JAX,,CAR,L 9-20,True,12,51,4.25,0,4,3,16,5.33,0,75.0%,4.00,0,0,0,0,0,0,0,0,42,63%,0,0%,0,0%,False,T.J. Yeldon
2015,2015-09-20,2,2,21.353,JAX,,MIA,W 23-20,True,25,70,2.80,0,4,3,13,4.33,0,75.0%,3.25,0,0,0,0,0,0,0,0,62,85%,0,0%,0,0%,False,T.J. Yeldon
2015,2015-09-27,3,3,21.360,JAX,@,NWE,L 17-51,True,11,33,3.00,0,3,2,9,4.50,0,66.7%,3.00,0,0,0,0,0,0,0,0,36,63%,0,0%,0,0%,True,T.J. Yeldon
2015,2015-10-04,4,4,22.002,JAX,@,IND,L 13-16,True,22,105,4.77,0,3,2,4,2.00,0,66.7%,1.33,0,0,0,0,0,0,0,0,77,94%,0,0%,0,0%,True,T.J. Yeldon
2015,2015-10-11,5,5,22.009,JAX,@,TAM,L 31-38,True,11,32,2.91,0,6,5,31,6.20,1,83.3%,5.17,1,6,0,0,0,0,0,0,39,66%,0,0%,0,0%,True,T.J. Yeldon
2015,2015-10-18,6,6,,JAX,,HOU,L 20-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2015,2015-10-25,7,7,22.023,JAX,,BUF,W 34-31,True,20,115,5.75,1,3,1,9,9.00,0,33.3%,3.00,1,6,0,0,0,0,0,0,57,85%,0,0%,0,0%,False,T.J. Yeldon
2015,2015-11-08,8,9,22.037,JAX,@,NYJ,L 23-28,True,14,64,4.57,0,3,3,37,12.33,0,100.0%,12.33,0,0,0,0,0,0,0,0,56,85%,0,0%,0,0%,True,T.J. Yeldon
2015,2015-11-15,9,10,22.044,JAX,@,BAL,W 22-20,True,18,61,3.39,0,6,5,6,1.20,0,83.3%,1.00,0,0,0,0,0,0,0,0,62,84%,0,0%,0,0%,True,T.J. Yeldon
2015,2015-11-19,10,11,22.048,JAX,,TEN,W 19-13,True,14,54,3.86,0,4,3,28,9.33,0,75.0%,7.00,0,0,0,0,0,0,0,0,49,82%,0,0%,0,0%,False,T.J. Yeldon
2015,2015-11-29,11,12,22.058,JAX,,SDG,L 25-31,True,9,36,4.00,0,5,4,46,11.50,0,80.0%,9.20,0,0,0,0,0,0,0,0,57,80%,0,0%,0,0%,False,T.J. Yeldon
2015,2015-12-06,12,13,22.065,JAX,@,TEN,L 39-42,True,15,57,3.80,1,4,4,79,19.75,0,100.0%,19.75,1,6,0,0,0,0,0,0,52,87%,0,0%,0,0%,True,T.J. Yeldon
2015,2015-12-13,13,14,22.072,JAX,,IND,W 51-16,True,11,62,5.64,0,1,1,1,1.00,0,100.0%,1.00,0,0,0,0,0,0,0,0,31,48%,0,0%,0,0%,False,T.J. Yeldon
2015,2015-12-20,14,15,,JAX,,ATL,L 17-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2015,2015-12-27,15,16,,JAX,@,NOR,L 27-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2015,2016-01-03,16,17,,JAX,@,HOU,L 6-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2016,2016-09-11,1,1,22.345,JAX,,GNB,L 23-27,True,21,39,1.86,1,6,4,30,7.50,0,66.7%,5.00,1,6,0,0,0,0,0,0,63,88%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-09-18,2,2,22.352,JAX,@,SDG,L 14-38,True,7,28,4.00,0,9,8,10,1.25,0,88.9%,1.11,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,True,T.J. Yeldon
