Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,23.202,CLE,PIT,L 27-30,False,5,1,5,5.00,0,20.0%,1.00,1,8,8.00,0,0,0,,0,,0,0,0,0,0,0,0,0,33,49%,0,0%,4,11%,True,Taylor Gabriel,False,27,30
2014.0,2014-09-14,2.0,2.0,23.209,CLE,NOR,W 26-24,False,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,67%,0,0%,2,6%,False,Taylor Gabriel,True,26,24
2014.0,2014-09-21,3.0,3.0,23.216,CLE,BAL,L 21-23,False,2,2,81,40.50,0,100.0%,40.50,2,-2,-1.00,0,0,0,,0,,0,0,0,0,0,0,0,0,35,58%,0,0%,2,8%,False,Taylor Gabriel,False,21,23
2014.0,2014-10-05,4.0,5.0,23.23,CLE,TEN,W 29-28,False,6,4,95,23.75,0,66.7%,15.83,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,53%,0,0%,0,0%,True,Taylor Gabriel,True,29,28
2014.0,2014-10-12,5.0,6.0,23.237,CLE,PIT,W 31-10,False,4,1,24,24.00,0,25.0%,6.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,47%,0,0%,2,7%,False,Taylor Gabriel,True,31,10
2014.0,2014-10-19,6.0,7.0,23.244,CLE,JAX,L 6-24,False,7,3,39,13.00,0,42.9%,5.57,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,43,57%,0,0%,0,0%,True,Taylor Gabriel,False,6,24
2014.0,2014-10-26,7.0,8.0,23.251,CLE,OAK,W 23-13,False,3,2,60,30.00,0,66.7%,20.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,38,68%,0,0%,1,3%,False,Taylor Gabriel,True,23,13
2014.0,2014-11-02,8.0,9.0,23.258,CLE,TAM,W 22-17,False,6,5,87,17.40,1,83.3%,14.50,0,0,,0,1,30,30.00,0,,1,6,0,0,0,0,0,0,42,63%,0,0%,2,7%,False,Taylor Gabriel,True,22,17
2014.0,2014-11-06,9.0,10.0,23.262,CLE,CIN,W 24-3,True,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,84%,0,0%,1,4%,True,Taylor Gabriel,True,24,3
2014.0,2014-11-16,10.0,11.0,23.272,CLE,HOU,L 7-23,False,13,5,92,18.40,0,38.5%,7.08,0,0,,0,1,21,21.00,0,,0,0,0,0,0,0,0,0,47,61%,0,0%,1,3%,False,Taylor Gabriel,False,7,23
