Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-11,1,1,,NOR,@,MIN,L 19-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
2017,2017-09-17,2,2,,NOR,,NWE,L 20-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taysom Hill
2017,2017-09-24,3,3,,NOR,@,CAR,W 34-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
2017,2017-10-01,4,4,,NOR,@,MIA,W 20-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
2017,2017-10-15,5,6,,NOR,,DET,W 52-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taysom Hill
2017,2017-10-22,6,7,,NOR,@,GNB,W 26-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
2017,2017-10-29,7,8,,NOR,,CHI,W 20-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taysom Hill
2017,2017-11-05,8,9,,NOR,,TAM,W 30-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taysom Hill
2017,2017-11-12,9,10,,NOR,@,BUF,W 47-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
2017,2017-11-19,10,11,,NOR,,WAS,W 34-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taysom Hill
2017,2017-11-26,11,12,,NOR,@,LAR,L 20-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
2017,2017-12-03,12,13,27.102,NOR,,CAR,W 31-21,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,12,41%,False,Taysom Hill
2017,2017-12-07,13,14,27.106,NOR,@,ATL,L 17-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,46%,True,Taysom Hill
2017,2017-12-17,14,15,27.116,NOR,,NYJ,W 31-19,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,57%,False,Taysom Hill
2017,2017-12-24,15,16,27.123,NOR,,ATL,W 23-13,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,16,55%,False,Taysom Hill
2017,2017-12-31,16,17,27.130,NOR,@,TAM,L 24-31,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,15,58%,True,Taysom Hill
2018,2018-09-09,1,1,28.017,NOR,,TAM,L 40-48,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,29,88%,False,Taysom Hill
2018,2018-09-16,2,2,28.024,NOR,,CLE,W 21-18,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,47,47.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,23,85%,False,Taysom Hill
2018,2018-09-23,3,3,28.031,NOR,@,ATL,W 43-37,False,0,0,,0,0,0,,0,0,,,3,39,13.00,0,0,0,0,,0,0.0%,,3,64,21.33,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,5,6%,0,0%,29,81%,True,Taysom Hill
2018,2018-09-30,4,4,28.038,NOR,@,NYG,W 33-18,False,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00,4,28,7.00,0,1,1,-4,-4.00,0,100.0%,-4.00,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,21%,0,0%,21,72%,True,Taysom Hill
2018,2018-10-08,5,5,28.046,NOR,,WAS,W 43-19,False,0,0,,0,0,0,,0,0,,,5,23,4.60,1,0,0,0,,0,0.0%,,2,43,21.50,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,19,76%,False,Taysom Hill
2018,2018-10-21,6,7,28.059,NOR,@,BAL,W 24-23,False,0,0,,0,0,0,,0,0,,,6,35,5.83,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,1,1,0,0,-2,0,26,37%,0,0%,20,83%,True,Taysom Hill
2018,2018-10-28,7,8,28.066,NOR,@,MIN,W 30-20,True,1,1,100.00,44,0,0,118.7,0,0,44.00,44.00,3,-2,-0.67,0,1,1,5,5.00,0,100.0%,5.00,2,50,25.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,34%,0,0%,18,75%,True,Taysom Hill
2018,2018-11-04,8,9,28.073,NOR,,LAR,W 45-35,False,0,0,,0,0,0,,0,0,,,2,10,5.00,0,1,0,0,,0,0.0%,0.00,2,49,24.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,24,77%,False,Taysom Hill
2018,2018-11-11,9,10,28.080,NOR,@,CIN,W 51-14,True,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,24,6.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,31%,0,0%,19,68%,True,Taysom Hill
2018,2018-11-18,10,11,28.087,NOR,,PHI,W 48-7,True,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00,3,4,1.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,1,0,0.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,19%,0,0%,19,68%,False,Taysom Hill
2018,2018-11-22,11,12,28.091,NOR,,ATL,W 31-17,False,0,0,,0,0,0,,1,3,,,2,13,6.50,0,0,0,0,,0,0.0%,,1,32,32.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,19%,0,0%,18,78%,False,Taysom Hill
2018,2018-11-29,12,13,28.098,NOR,@,DAL,L 10-13,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,2,47,23.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,13%,0,0%,18,90%,True,Taysom Hill
2018,2018-12-09,13,14,28.108,NOR,@,TAM,W 28-14,False,0,0,,0,0,0,,0,0,,,1,-6,-6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,22,85%,True,Taysom Hill
2018,2018-12-17,14,15,28.116,NOR,@,CAR,W 12-9,False,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,13,17%,0,0%,18,90%,True,Taysom Hill
2018,2018-12-23,15,16,28.122,NOR,,PIT,W 31-28,False,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,15%,0,0%,23,79%,False,Taysom Hill
2018,2018-12-30,16,17,28.129,NOR,,CAR,L 14-33,True,0,0,,0,0,0,,0,0,,,3,11,3.67,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,8,15%,0,0%,23,92%,False,Taysom Hill
2019,2019-09-09,1,1,29.017,NOR,,HOU,W 30-28,False,0,0,,0,0,0,,0,0,,,2,8,4.00,0,2,1,9,9.00,1,50.0%,4.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,23,77%,False,Taysom Hill
2019,2019-09-15,2,2,29.023,NOR,@,LAR,L 9-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,33%,0,0%,23,85%,True,Taysom Hill
2019,2019-09-22,3,3,29.030,NOR,@,SEA,W 33-27,False,0,0,,0,0,0,,0,0,,,1,5,5.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,7%,0,0%,7,25%,True,Taysom Hill
2019,2019-09-29,4,4,29.037,NOR,,DAL,W 12-10,False,0,0,,0,0,0,,0,0,,,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,9%,0,0%,4,19%,False,Taysom Hill
