Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-09-08,1,1,24.000,DAL,,NYG,W 36-31,True,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,36,47%,0,0%,3,9%,False,Terrance Williams
2013,2013-09-15,2,2,24.007,DAL,@,KAN,L 16-17,False,3,3,28,9.33,0,100.0%,9.33,1,-3,-3.00,0,0,0,,0,,0,0,0,0,0,0,0,0,26,41%,0,0%,0,0%,True,Terrance Williams
2013,2013-09-22,3,3,24.014,DAL,,STL,W 31-7,False,,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,35,56%,0,0%,0,0%,False,Terrance Williams
2013,2013-09-29,4,4,24.021,DAL,@,SDG,L 21-30,False,8,7,71,10.14,0,87.5%,8.88,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,51,86%,0,0%,1,3%,True,Terrance Williams
2013,2013-10-06,5,5,24.028,DAL,,DEN,L 48-51,True,4,4,151,37.75,1,100.0%,37.75,1,2,2.00,0,0,0,,0,1,1,8,0,0,0,0,0,0,54,93%,0,0%,0,0%,False,Terrance Williams
2013,2013-10-13,6,6,24.035,DAL,,WAS,W 31-16,False,2,2,27,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,37,69%,0,0%,2,7%,False,Terrance Williams
2013,2013-10-20,7,7,24.042,DAL,@,PHI,W 17-3,True,7,6,71,11.83,1,85.7%,10.14,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,55,71%,0,0%,0,0%,True,Terrance Williams
2013,2013-10-27,8,8,24.049,DAL,@,DET,L 30-31,True,10,2,64,32.00,1,20.0%,6.40,1,5,5.00,0,0,0,,0,,1,6,0,0,0,0,0,0,52,91%,0,0%,0,0%,True,Terrance Williams
2013,2013-11-03,9,9,24.056,DAL,,MIN,W 27-23,True,7,2,33,16.50,0,28.6%,4.71,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,94%,0,0%,1,4%,False,Terrance Williams
2013,2013-11-10,10,10,24.063,DAL,@,NOR,L 17-49,False,5,1,21,21.00,1,20.0%,4.20,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,36,80%,0,0%,1,3%,True,Terrance Williams
2013,2013-11-24,11,12,24.077,DAL,@,NYG,W 24-21,True,2,1,10,10.00,0,50.0%,5.00,0,0,,0,1,21,21.00,0,,0,0,0,0,0,0,0,0,41,63%,0,0%,8,29%,True,Terrance Williams
2013,2013-11-28,12,13,24.081,DAL,,OAK,W 31-24,False,6,3,23,7.67,0,50.0%,3.83,0,0,,0,2,61,30.50,0,,0,0,1,1,0,0,0,0,50,74%,0,0%,7,23%,False,Terrance Williams
2013,2013-12-09,13,14,24.092,DAL,@,CHI,L 28-45,False,3,2,36,18.00,0,66.7%,12.00,0,0,,0,1,14,14.00,0,,0,0,0,0,0,0,0,0,26,47%,0,0%,6,21%,True,Terrance Williams
