Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-14,1.0,1.0,22.151,ATL,PHI,W 26-24,True,20,80,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,58%,0,0%,0,0%,False,Tevin Coleman,True,26,24
2015.0,2015-09-20,2.0,2.0,22.157,ATL,NYG,W 24-20,True,9,32,3.56,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,19,26%,0,0%,0,0%,True,Tevin Coleman,True,24,20
2015.0,2015-09-27,3.0,3.0,,ATL,DAL,W 39-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tevin Coleman,True,39,28
2015.0,2015-10-04,4.0,4.0,,ATL,HOU,W 48-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tevin Coleman,True,48,21
2015.0,2015-10-11,5.0,5.0,22.178,ATL,WAS,W 25-19,False,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,11%,0,0%,0,0%,False,Tevin Coleman,True,25,19
2015.0,2015-10-15,6.0,6.0,22.182,ATL,NOR,L 21-31,False,4,40,10.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,7,10%,0,0%,0,0%,True,Tevin Coleman,False,21,31
2015.0,2015-10-25,7.0,7.0,22.192,ATL,TEN,W 10-7,False,3,14,4.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,3,14%,True,Tevin Coleman,True,10,7
2015.0,2015-11-01,8.0,8.0,22.199,ATL,TAM,L 20-23,False,3,11,3.67,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,12%,0,0%,3,12%,False,Tevin Coleman,False,20,23
2015.0,2015-11-08,9.0,9.0,22.206,ATL,SFO,L 16-17,False,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,13,45%,True,Tevin Coleman,False,16,17
2015.0,2015-11-22,10.0,11.0,22.22,ATL,IND,L 21-24,False,17,48,2.82,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,65%,0,0%,1,4%,False,Tevin Coleman,False,21,24
2015.0,2015-11-29,11.0,12.0,22.227,ATL,MIN,L 10-20,True,18,110,6.11,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,43,67%,0,0%,0,0%,False,Tevin Coleman,False,10,20
2015.0,2015-12-06,12.0,13.0,22.234,ATL,TAM,L 19-23,False,3,13,4.33,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,11,16%,0,0%,0,0%,True,Tevin Coleman,False,19,23
2015.0,2015-12-13,13.0,14.0,22.241,ATL,CAR,L 0-38,False,3,15,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,20%,0,0%,0,0%,True,Tevin Coleman,False,0,38
2015.0,2015-12-20,14.0,15.0,22.248,ATL,JAX,W 23-17,False,4,23,5.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,True,Tevin Coleman,True,23,17
2015.0,2015-12-27,15.0,16.0,,ATL,CAR,W 20-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tevin Coleman,True,20,13
2015.0,2016-01-03,16.0,17.0,,ATL,NOR,L 17-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tevin Coleman,False,17,20
2016.0,2016-09-11,1.0,1.0,23.148,ATL,TAM,L 24-31,False,8,22,2.75,0,6,5,95,19.00,0,83.3%,15.83,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,49%,0,0%,0,0%,False,Tevin Coleman,False,24,31
2016.0,2016-09-18,2.0,2.0,23.155,ATL,OAK,W 35-28,False,12,46,3.83,1,2,2,25,12.50,0,100.0%,12.50,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,47%,0,0%,0,0%,True,Tevin Coleman,True,35,28
2016.0,2016-09-26,3.0,3.0,23.163,ATL,NOR,W 45-32,False,12,42,3.50,3,3,3,47,15.67,0,100.0%,15.67,0,0,,0,3,18,0.0,0,0,0,,,0,0,0,0,0,0,27,42%,0,0%,0,0%,True,Tevin Coleman,True,45,32
2016.0,2016-10-02,4.0,4.0,23.169,ATL,CAR,W 48-33,False,8,19,2.38,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,43%,0,0%,0,0%,False,Tevin Coleman,True,48,33
2016.0,2016-10-09,5.0,5.0,23.176,ATL,DEN,W 23-16,False,6,31,5.17,0,6,4,132,33.00,1,66.7%,22.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,26,39%,0,0%,0,0%,True,Tevin Coleman,True,23,16
2016.0,2016-10-16,6.0,6.0,23.183,ATL,SEA,L 24-26,False,5,10,2.00,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,46%,0,0%,0,0%,True,Tevin Coleman,False,24,26
2016.0,2016-10-23,7.0,7.0,23.19,ATL,SDG,L 30-33,False,8,64,8.00,1,1,1,10,10.00,0,100.0%,10.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,14,22%,0,0%,0,0%,False,Tevin Coleman,False,30,33
2016.0,2016-10-30,8.0,8.0,,ATL,GNB,W 33-32,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tevin Coleman,True,33,32
2016.0,2016-11-03,9.0,9.0,,ATL,TAM,W 43-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tevin Coleman,True,43,28
2016.0,2016-11-13,10.0,10.0,,ATL,PHI,L 15-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tevin Coleman,False,15,24
2016.0,2016-11-27,11.0,12.0,23.225,ATL,ARI,W 38-19,False,8,9,1.13,1,2,2,4,2.00,0,100.0%,2.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,46%,0,0%,0,0%,False,Tevin Coleman,True,38,19
2016.0,2016-12-04,12.0,13.0,23.232,ATL,KAN,L 28-29,False,12,49,4.08,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,44%,0,0%,0,0%,False,Tevin Coleman,False,28,29
2016.0,2016-12-11,13.0,14.0,23.239,ATL,LAR,W 42-14,False,8,36,4.50,1,3,2,19,9.50,1,66.7%,6.33,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,21,36%,0,0%,0,0%,True,Tevin Coleman,True,42,14
2016.0,2016-12-18,14.0,15.0,23.246,ATL,SFO,W 41-13,False,14,58,4.14,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,31,46%,0,0%,0,0%,False,Tevin Coleman,True,41,13
2016.0,2016-12-24,15.0,16.0,23.252,ATL,CAR,W 33-16,False,9,90,10.00,1,3,3,45,15.00,0,100.0%,15.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,37%,0,0%,0,0%,True,Tevin Coleman,True,33,16
2016.0,2017-01-01,16.0,17.0,23.26,ATL,NOR,W 38-32,False,8,44,5.50,0,4,3,15,5.00,1,75.0%,3.75,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,40%,0,0%,0,0%,False,Tevin Coleman,True,38,32
2017.0,2017-09-10,1.0,1.0,24.147,ATL,CHI,W 23-17,False,8,16,2.00,0,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,41%,0,0%,0,0%,True,Tevin Coleman,True,23,17
2017.0,2017-09-17,2.0,2.0,24.154,ATL,GNB,W 34-23,False,6,42,7.00,0,2,2,3,1.50,1,100.0%,1.50,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,22,38%,0,0%,0,0%,False,Tevin Coleman,True,34,23
2017.0,2017-09-24,3.0,3.0,24.161,ATL,DET,W 30-26,False,6,46,7.67,0,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,41%,0,0%,0,0%,True,Tevin Coleman,True,30,26
2017.0,2017-10-01,4.0,4.0,24.168,ATL,BUF,L 17-23,False,9,77,8.56,0,6,4,65,16.25,0,66.7%,10.83,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,27,36%,0,0%,0,0%,False,Tevin Coleman,False,17,23
2017.0,2017-10-15,5.0,6.0,24.182,ATL,MIA,L 17-20,False,9,32,3.56,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,32%,0,0%,0,0%,False,Tevin Coleman,False,17,20
2017.0,2017-10-22,6.0,7.0,24.189,ATL,NWE,L 7-23,False,6,16,2.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,33%,0,0%,0,0%,True,Tevin Coleman,False,7,23
2017.0,2017-10-29,7.0,8.0,24.196,ATL,NYJ,W 25-20,False,14,82,5.86,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,44%,0,0%,0,0%,True,Tevin Coleman,True,25,20
2017.0,2017-11-05,8.0,9.0,24.203,ATL,CAR,L 17-20,False,5,5,1.00,0,2,1,19,19.00,1,50.0%,9.50,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,19,32%,0,0%,0,0%,True,Tevin Coleman,False,17,20
2017.0,2017-11-12,9.0,10.0,24.21,ATL,DAL,W 27-7,False,20,83,4.15,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,68%,0,0%,0,0%,False,Tevin Coleman,True,27,7
2017.0,2017-11-20,10.0,11.0,24.218,ATL,SEA,W 34-31,True,20,43,2.15,1,2,1,15,15.00,0,50.0%,7.50,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,68%,0,0%,0,0%,True,Tevin Coleman,True,34,31
2017.0,2017-11-26,11.0,12.0,24.224,ATL,TAM,W 34-20,True,19,97,5.11,2,0,0,0,,0,0.0%,,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,44,69%,0,0%,0,0%,False,Tevin Coleman,True,34,20
2017.0,2017-12-03,12.0,13.0,24.231,ATL,MIN,L 9-14,False,8,22,2.75,0,6,3,27,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,38%,0,0%,0,0%,False,Tevin Coleman,False,9,14
2017.0,2017-12-07,13.0,14.0,24.235,ATL,NOR,W 20-17,False,9,32,3.56,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,32%,0,0%,0,0%,False,Tevin Coleman,True,20,17
2017.0,2017-12-18,14.0,15.0,,ATL,TAM,W 24-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tevin Coleman,True,24,21
2017.0,2017-12-24,15.0,16.0,24.252,ATL,NOR,L 13-23,False,6,12,2.00,0,4,4,40,10.00,1,100.0%,10.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,36%,0,0%,0,0%,True,Tevin Coleman,False,13,23
2017.0,2017-12-31,16.0,17.0,24.259,ATL,CAR,W 22-10,True,11,23,2.09,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,57%,0,0%,0,0%,False,Tevin Coleman,True,22,10
2018.0,2018-09-06,1.0,1.0,25.143,ATL,PHI,L 12-18,False,9,19,2.11,1,2,1,26,26.00,0,50.0%,13.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,51%,0,0%,0,0%,True,Tevin Coleman,False,12,18
2018.0,2018-09-16,2.0,2.0,25.153,ATL,CAR,W 31-24,True,16,107,6.69,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,40,63%,0,0%,0,0%,False,Tevin Coleman,True,31,24
2018.0,2018-09-23,3.0,3.0,25.16,ATL,NOR,L 37-43,True,15,33,2.20,0,3,2,14,7.00,1,66.7%,4.67,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,78%,0,0%,0,0%,False,Tevin Coleman,False,37,43
2018.0,2018-09-30,4.0,4.0,25.167,ATL,CIN,L 36-37,True,14,51,3.64,0,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,57%,0,0%,0,0%,False,Tevin Coleman,False,36,37
2018.0,2018-10-07,5.0,5.0,25.174,ATL,PIT,L 17-41,False,7,15,2.14,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,38%,0,0%,0,0%,True,Tevin Coleman,False,17,41
2018.0,2018-10-14,6.0,6.0,25.181,ATL,TAM,W 34-29,True,10,35,3.50,0,2,1,6,6.00,1,50.0%,3.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,57%,0,0%,0,0%,False,Tevin Coleman,True,34,29
2018.0,2018-10-22,7.0,7.0,25.189,ATL,NYG,W 23-20,True,11,50,4.55,1,2,2,32,16.00,0,100.0%,16.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,57%,0,0%,0,0%,False,Tevin Coleman,True,23,20
2018.0,2018-11-04,8.0,9.0,25.202,ATL,WAS,W 38-14,True,13,88,6.77,0,7,5,68,13.60,2,71.4%,9.71,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,39,57%,0,0%,0,0%,True,Tevin Coleman,True,38,14
2018.0,2018-11-11,9.0,10.0,25.209,ATL,CLE,L 16-28,True,11,44,4.00,0,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,65%,0,0%,0,0%,True,Tevin Coleman,False,16,28
2018.0,2018-11-18,10.0,11.0,25.216,ATL,DAL,L 19-22,True,8,58,7.25,0,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,61%,0,0%,0,0%,False,Tevin Coleman,False,19,22
2018.0,2018-11-22,11.0,12.0,25.22,ATL,NOR,L 17-31,True,8,6,0.75,0,4,3,17,5.67,1,75.0%,4.25,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,50%,0,0%,0,0%,True,Tevin Coleman,False,17,31
2018.0,2018-12-02,12.0,13.0,25.23,ATL,BAL,L 16-26,True,6,8,1.33,0,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,29,55%,0,0%,0,0%,False,Tevin Coleman,False,16,26
2018.0,2018-12-09,13.0,14.0,25.237,ATL,GNB,L 20-34,True,10,45,4.50,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,33,46%,0,0%,0,0%,True,Tevin Coleman,False,20,34
