Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2000,2000-09-03,1,1,22.015,ARI,NYG,True,12,16,1.33,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,16,21,Thomas Jones
2000,2000-09-10,2,2,22.022,ARI,DAL,True,23,70,3.04,0,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,False,True,32,31,Thomas Jones
2000,2000-09-24,3,4,22.036,ARI,GNB,True,10,24,2.40,0,5,2,3,1.50,0,40.0%,0.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,3,29,Thomas Jones
2000,2000-10-01,4,5,22.043,ARI,SFO,True,10,36,3.60,1,5,4,15,3.75,0,80.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,1,1,0,0,0,0,True,False,20,27,Thomas Jones
2000,2000-10-08,5,6,22.050,ARI,CLE,False,6,9,1.50,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,1,0,0,1,0,0,False,True,29,21,Thomas Jones
2000,2000-10-15,6,7,22.057,ARI,PHI,False,3,35,11.67,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,14,33,Thomas Jones
2000,2000-10-22,7,8,22.064,ARI,DAL,False,11,50,4.55,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,7,48,Thomas Jones
2000,2000-10-29,8,9,22.071,ARI,NOR,False,6,26,4.33,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,21,Thomas Jones
2000,2000-11-05,9,10,22.078,ARI,WAS,False,4,16,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,True,16,15,Thomas Jones
2000,2000-11-12,10,11,22.085,ARI,MIN,False,3,3,1.00,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,True,False,14,31,Thomas Jones
2000,2000-11-19,11,12,22.092,ARI,PHI,False,1,-2,-2.00,0,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,9,34,Thomas Jones
2000,2000-11-26,12,13,22.099,ARI,NYG,False,2,11,5.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,7,31,Thomas Jones
2000,2000-12-03,13,14,,ARI,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,24,Thomas Jones
2000,2000-12-10,14,15,22.113,ARI,JAX,False,7,40,5.71,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,10,44,Thomas Jones
2000,2000-12-17,15,16,22.120,ARI,BAL,False,14,39,2.79,0,9,7,41,5.86,0,77.8%,4.56,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,7,13,Thomas Jones
2000,2000-12-24,16,17,,ARI,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,20,Thomas Jones
2001,2001-09-23,1,2,23.035,ARI,DEN,True,17,65,3.82,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,1,1,0,0,0,0,False,False,17,38,Thomas Jones
2001,2001-09-30,2,3,23.042,ARI,ATL,True,5,21,4.20,0,4,4,53,13.25,0,100.0%,13.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,14,34,Thomas Jones
