Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,22.041,SEA,STL,L 31-34,False,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,2,2%,0,0%,0,0%,True,Thomas Rawls,False,31,34
2015.0,2015-09-20,2.0,2.0,22.048,SEA,GNB,L 17-27,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,True,Thomas Rawls,False,17,27
2015.0,2015-09-27,3.0,3.0,22.055,SEA,CHI,W 26-0,True,16,104,6.50,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,34,53%,0,0%,0,0%,False,Thomas Rawls,True,26,0
2015.0,2015-10-05,4.0,4.0,22.063,SEA,DET,W 13-10,True,17,48,2.82,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,False,Thomas Rawls,True,13,10
2015.0,2015-10-11,5.0,5.0,22.069,SEA,CIN,L 24-27,True,23,169,7.35,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,31,52%,0,0%,0,0%,True,Thomas Rawls,False,24,27
2015.0,2015-10-18,6.0,6.0,22.076,SEA,CAR,L 23-27,False,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,False,Thomas Rawls,False,23,27
2015.0,2015-10-22,7.0,7.0,22.08,SEA,SFO,W 20-3,False,6,32,5.33,0,2,2,9,4.50,0,100.0%,4.50,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,True,Thomas Rawls,True,20,3
2015.0,2015-11-01,8.0,8.0,22.09,SEA,DAL,W 13-12,False,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,11,18%,0,0%,0,0%,True,Thomas Rawls,True,13,12
2015.0,2015-11-15,9.0,10.0,22.104,SEA,ARI,L 32-39,False,2,19,9.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,False,Thomas Rawls,False,32,39
2015.0,2015-11-22,10.0,11.0,22.111,SEA,SFO,W 29-13,True,30,209,6.97,1,3,3,46,15.33,1,100.0%,15.33,2,12,0,0,0,0,0,0,50,64%,0,0%,0,0%,False,Thomas Rawls,True,29,13
2015.0,2015-11-29,11.0,12.0,22.118,SEA,PIT,W 39-30,True,21,81,3.86,1,1,0,0,,0,0.0%,0.00,1,6,0,0,0,1,0,0,40,65%,0,0%,0,0%,False,Thomas Rawls,True,39,30
2015.0,2015-12-06,12.0,13.0,22.125,SEA,MIN,W 38-7,True,19,101,5.32,1,3,3,22,7.33,0,100.0%,7.33,1,6,1,1,0,0,0,0,44,66%,0,0%,0,0%,True,Thomas Rawls,True,38,7
2015.0,2015-12-13,13.0,14.0,22.132,SEA,BAL,W 35-6,True,6,44,7.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,True,Thomas Rawls,True,35,6
2015.0,2015-12-20,14.0,15.0,,SEA,CLE,W 30-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Thomas Rawls,True,30,13
2015.0,2015-12-27,15.0,16.0,,SEA,STL,L 17-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Thomas Rawls,False,17,23
2015.0,2016-01-03,16.0,17.0,,SEA,ARI,W 36-6,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Thomas Rawls,True,36,6
2016.0,2016-09-11,1.0,1.0,23.039,SEA,MIA,W 12-10,False,12,32,2.67,0,3,3,26,8.67,0,100.0%,8.67,0,0,0,0,0,0,0,0,22,27%,0,0%,0,0%,False,Thomas Rawls,True,12,10
2016.0,2016-09-18,2.0,2.0,23.046,SEA,LAR,L 3-9,True,7,-7,-1.00,0,3,3,15,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,15,22%,0,0%,0,0%,True,Thomas Rawls,False,3,9
2016.0,2016-09-25,3.0,3.0,,SEA,SFO,W 37-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls,True,37,18
2016.0,2016-10-02,4.0,4.0,,SEA,NYJ,W 27-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls,True,27,17
2016.0,2016-10-16,5.0,6.0,,SEA,ATL,W 26-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls,True,26,24
2016.0,2016-10-23,6.0,7.0,,SEA,ARI,T 6-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls,False,6,6
2016.0,2016-10-30,7.0,8.0,,SEA,NOR,L 20-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls,False,20,25
2016.0,2016-11-07,8.0,9.0,,SEA,BUF,W 31-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls,True,31,25
2016.0,2016-11-13,9.0,10.0,,SEA,NWE,W 31-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls,True,31,24
2016.0,2016-11-20,10.0,11.0,23.109,SEA,PHI,W 26-15,False,14,57,4.07,0,4,3,31,10.33,0,75.0%,7.75,0,0,0,0,0,0,0,0,40,60%,0,0%,0,0%,False,Thomas Rawls,True,26,15
2016.0,2016-11-27,11.0,12.0,23.116,SEA,TAM,L 5-14,True,12,38,3.17,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,37,59%,0,0%,0,0%,True,Thomas Rawls,False,5,14
2016.0,2016-12-04,12.0,13.0,23.123,SEA,CAR,W 40-7,True,15,106,7.07,2,1,1,12,12.00,0,100.0%,12.00,2,12,0,0,0,0,0,0,39,55%,0,0%,0,0%,False,Thomas Rawls,True,40,7
2016.0,2016-12-11,13.0,14.0,23.13,SEA,GNB,L 10-38,True,12,67,5.58,0,2,1,7,7.00,0,50.0%,3.50,0,0,0,0,0,0,0,0,37,52%,0,0%,0,0%,True,Thomas Rawls,False,10,38
2016.0,2016-12-15,14.0,15.0,23.134,SEA,LAR,W 24-3,True,21,34,1.62,0,2,2,5,2.50,0,100.0%,2.50,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,False,Thomas Rawls,True,24,3
2016.0,2016-12-24,15.0,16.0,23.143,SEA,ARI,L 31-34,True,8,8,1.00,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,36,43%,0,0%,0,0%,False,Thomas Rawls,False,31,34
