Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-09-07,1,1,22.107,ARI,@,SFO,W 23-13,False,8,13,1.63,1,4,3,21,7.00,0,75.0%,5.25,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-09-14,2,2,22.114,ARI,,MIA,W 31-10,False,10,24,2.40,1,1,1,20,20.00,0,100.0%,20.00,0,0,,0,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-09-21,3,3,22.121,ARI,@,WAS,L 17-24,False,5,23,4.60,0,6,3,38,12.67,0,50.0%,6.33,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-09-28,4,4,22.128,ARI,@,NYJ,L 35-56,False,6,13,2.17,1,2,1,5,5.00,0,50.0%,2.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-10-05,5,5,22.135,ARI,,BUF,W 41-17,False,7,37,5.29,2,2,2,8,4.00,0,100.0%,4.00,0,0,,0,2,12,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-10-12,6,6,22.142,ARI,,DAL,W 30-24,False,7,20,2.86,0,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-10-26,7,8,22.156,ARI,@,CAR,L 23-27,False,6,3,0.50,1,3,2,18,9.00,0,66.7%,6.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-11-02,8,9,22.163,ARI,@,STL,W 34-13,True,22,109,4.95,1,2,2,6,3.00,0,100.0%,3.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-11-10,9,10,22.171,ARI,,SFO,W 29-24,True,13,22,1.69,0,8,6,28,4.67,0,75.0%,3.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-11-16,10,11,22.177,ARI,@,SEA,W 26-20,True,11,35,3.18,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-11-23,11,12,22.184,ARI,,NYG,L 29-37,True,11,21,1.91,2,1,0,0,,0,0.0%,0.00,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-11-27,12,13,22.188,ARI,@,PHI,L 20-48,True,7,7,1.00,0,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Tim Hightower
2008,2008-12-07,13,14,22.198,ARI,,STL,W 34-10,True,12,32,2.67,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-12-14,14,15,22.205,ARI,,MIN,L 14-35,False,5,20,4.00,0,6,5,20,4.00,0,83.3%,3.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2008,2008-12-21,15,16,22.212,ARI,@,NWE,L 7-47,True,10,17,1.70,0,6,2,10,5.00,0,33.3%,1.67,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,Tim Hightower
2008,2008-12-28,16,17,22.219,ARI,,SEA,W 34-21,False,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2009,2009-09-13,1,1,23.113,ARI,,SFO,L 16-20,True,8,15,1.88,0,14,12,121,10.08,0,85.7%,8.64,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2009,2009-09-20,2,2,23.120,ARI,@,JAX,W 31-17,True,15,72,4.80,1,3,3,12,4.00,0,100.0%,4.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2009,2009-09-27,3,3,23.127,ARI,,IND,L 10-31,True,9,22,2.44,0,8,5,39,7.80,0,62.5%,4.88,0,0,,0,0,0,0.0,0,0,0,0,0,2,1,0,0,-6,0,,,,,,,False,Tim Hightower
2009,2009-10-11,4,5,23.141,ARI,,HOU,W 28-21,True,6,17,2.83,1,5,5,30,6.00,0,100.0%,6.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2009,2009-10-18,5,6,23.148,ARI,@,SEA,W 27-3,True,13,32,2.46,1,4,4,26,6.50,0,100.0%,6.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2009,2009-10-25,6,7,23.155,ARI,@,NYG,W 24-17,True,4,9,2.25,1,5,2,11,5.50,0,40.0%,2.20,0,0,,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,Tim Hightower
2009,2009-11-01,7,8,23.162,ARI,,CAR,L 21-34,True,8,39,4.88,1,10,8,57,7.13,0,80.0%,5.70,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2009,2009-11-08,8,9,23.169,ARI,@,CHI,W 41-21,True,15,77,5.13,0,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2009,2009-11-15,9,10,23.176,ARI,,SEA,W 31-20,True,10,37,3.70,0,5,5,21,4.20,0,100.0%,4.20,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
