Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,22.131,DAL,,NYG,W 35-17,False,13,24,1.85,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,32%,0,0%,3,12%,False,Tony Pollard
2019,2019-09-15,2,2,22.138,DAL,@,WAS,W 31-21,False,4,22,5.50,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,23%,0,0%,3,13%,True,Tony Pollard
2019,2019-09-22,3,3,22.145,DAL,,MIA,W 31-6,False,13,103,7.92,1,3,3,25,8.33,0,100.0%,8.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,32%,0,0%,7,25%,False,Tony Pollard
2019,2019-09-29,4,4,22.152,DAL,@,NOR,L 10-12,False,,,,,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,2,3%,0,0%,10,48%,True,Tony Pollard
2019,2019-10-06,5,5,22.159,DAL,,GNB,L 24-34,False,4,19,4.75,0,0,0,0,,0,0.0%,,3,73,24.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,7%,0,0%,10,29%,False,Tony Pollard
2019,2019-10-13,6,6,22.166,DAL,@,NYJ,L 22-24,False,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,9%,0,0%,8,31%,True,Tony Pollard
2019,2019-10-20,7,7,22.173,DAL,,PHI,W 37-10,False,8,28,3.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,28%,0,0%,6,24%,False,Tony Pollard
2019,2019-11-04,8,9,22.188,DAL,@,NYG,W 37-18,False,3,21,7.00,0,3,1,9,9.00,0,33.3%,3.00,3,31,10.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,19%,0,0%,8,26%,True,Tony Pollard
2019,2019-11-10,9,10,22.194,DAL,,MIN,L 24-28,False,1,-4,-4.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,12,48%,False,Tony Pollard
2019,2019-11-17,10,11,22.201,DAL,@,DET,W 35-27,False,2,12,6.00,0,4,4,44,11.00,1,100.0%,11.00,2,42,21.00,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,12,16%,0,0%,8,26%,True,Tony Pollard
