Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,23.219,CLE,@,NYJ,L 10-31,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,7,30%,True,Travis Coons
2015,2015-09-20,2,2,23.226,CLE,,TEN,W 28-14,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,9,35%,False,Travis Coons
2015,2015-09-27,3,3,23.233,CLE,,OAK,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,31%,False,Travis Coons
2015,2015-10-04,4,4,23.240,CLE,@,SDG,L 27-30,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,12,35%,True,Travis Coons
2015,2015-10-11,5,5,23.247,CLE,@,BAL,W 33-30,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,12,35%,True,Travis Coons
2015,2015-10-18,6,6,23.254,CLE,,DEN,L 23-26,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,9,24%,False,Travis Coons
2015,2015-10-25,7,7,23.261,CLE,@,STL,L 6-24,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,19%,True,Travis Coons
2015,2015-11-01,8,8,23.268,CLE,,ARI,L 20-34,False,2,3,66.7,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,7,26%,False,Travis Coons
2015,2015-11-05,9,9,23.272,CLE,@,CIN,L 10-31,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,20%,True,Travis Coons
2015,2015-11-15,10,10,23.282,CLE,@,PIT,L 9-30,False,,1,0.0,1,1,100.0,0,3,0.0,0,0,0,,,0,0%,0,0%,5,22%,True,Travis Coons
2015,2015-11-30,11,12,23.297,CLE,,BAL,L 27-33,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0%,0,0%,12,35%,False,Travis Coons
2015,2015-12-06,12,13,23.303,CLE,,CIN,L 3-37,False,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0%,0,0%,3,14%,False,Travis Coons
2015,2015-12-13,13,14,23.310,CLE,,SFO,W 24-10,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0%,0,0%,10,40%,False,Travis Coons
2015,2015-12-20,14,15,23.317,CLE,@,SEA,L 13-30,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,30%,True,Travis Coons
2015,2015-12-27,15,16,23.324,CLE,@,KAN,L 13-17,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0%,0,0%,8,35%,True,Travis Coons
2015,2016-01-03,16,17,23.331,CLE,,PIT,L 12-28,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,8,32%,False,Travis Coons
2017,2017-12-03,12,13,25.300,LAC,,CLE,W 19-10,False,1,1,100.0,4,5,80.0,0,13,0.0,1,0,1,0,0,0,0%,0,0%,11,52%,False,Travis Coons
2017,2017-12-10,13,14,25.307,LAC,,WAS,W 30-13,False,3,3,100.0,3,3,100.0,0,12,0.0,1,0,1,0,0,0,0%,0,0%,13,42%,False,Travis Coons
2017,2017-12-16,14,15,25.313,LAC,@,KAN,L 13-30,False,1,2,50.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,5,20%,True,Travis Coons
,19 Games,,,,,,,5-14-0,False,27,30,90.0,35,40,87.5,0,132,0.0,2,0,2,0,0,,,,,,,False,Travis Coons
