Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-09-07,1,1,,STL,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,6,34,Tre Mason
2014,2014-09-14,2,2,,STL,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,19,17,Tre Mason
2014,2014-09-21,3,3,,STL,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,31,34,Tre Mason
2014,2014-10-05,4,5,,STL,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,28,34,Tre Mason
2014,2014-10-13,5,6,21.068,STL,SFO,False,5,40,8.00,0,1,1,12,12.00,0,100.0%,12.00,0,0,0,0,0,0,0,0,9,12%,0,0%,0,0%,False,False,17,31,Tre Mason
2014,2014-10-19,6,7,21.074,STL,SEA,False,18,85,4.72,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,26,53%,0,0%,1,4%,False,True,28,26,Tre Mason
2014,2014-10-26,7,8,21.081,STL,KAN,False,7,32,4.57,0,1,1,1,1.00,0,100.0%,1.00,0,0,0,0,0,0,0,0,18,35%,0,0%,2,7%,True,False,7,34,Tre Mason
2014,2014-11-02,8,9,21.088,STL,SFO,True,19,65,3.42,0,2,1,-8,-8.00,0,50.0%,-4.00,0,0,0,0,0,0,0,0,38,69%,0,0%,0,0%,True,True,13,10,Tre Mason
2014,2014-11-09,9,10,21.095,STL,ARI,True,14,48,3.43,0,6,4,33,8.25,0,66.7%,5.50,0,0,0,0,0,0,0,0,38,61%,0,0%,0,0%,True,False,14,31,Tre Mason
2014,2014-11-16,10,11,21.102,STL,DEN,True,29,113,3.90,0,2,1,1,1.00,0,50.0%,0.50,0,0,0,0,0,0,0,0,45,69%,0,0%,0,0%,False,True,22,7,Tre Mason
