Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,23.275,HOU,@,NWE,L 20-27,False,6,230,38.33,0,0,0%,0,0%,10,31%,True,Trevor Daniel
2018,2018-09-16,2,2,23.282,HOU,@,TEN,L 17-20,False,4,164,41.00,0,0,0%,0,0%,8,30%,True,Trevor Daniel
2018,2018-09-23,3,3,23.289,HOU,,NYG,L 22-27,False,3,155,51.67,0,0,0%,0,0%,7,26%,False,Trevor Daniel
2018,2018-09-30,4,4,23.296,HOU,@,IND,W 37-34,False,5,207,41.40,0,0,0%,0,0%,13,35%,True,Trevor Daniel
2018,2018-10-07,5,5,23.303,HOU,,DAL,W 19-16,False,3,160,53.33,0,0,0%,0,0%,9,31%,False,Trevor Daniel
2018,2018-10-14,6,6,23.310,HOU,,BUF,W 20-13,False,5,203,40.60,0,0,0%,0,0%,9,32%,False,Trevor Daniel
2018,2018-10-21,7,7,23.317,HOU,@,JAX,W 20-7,False,6,277,46.17,0,0,0%,0,0%,10,42%,True,Trevor Daniel
2018,2018-10-25,8,8,23.321,HOU,,MIA,W 42-23,False,5,211,42.20,0,0,0%,0,0%,11,31%,False,Trevor Daniel
2018,2018-11-04,9,9,23.331,HOU,@,DEN,W 19-17,False,6,307,51.17,0,0,0%,0,0%,10,36%,True,Trevor Daniel
2018,2018-11-18,10,11,23.345,HOU,@,WAS,W 23-21,False,1,30,30.00,0,0,0%,0,0%,8,30%,True,Trevor Daniel
2018,2018-11-26,11,12,23.353,HOU,,TEN,W 34-17,False,5,224,44.80,0,0,0%,0,0%,11,37%,False,Trevor Daniel
2018,2018-12-02,12,13,23.359,HOU,,CLE,W 29-13,False,3,114,38.00,0,0,0%,0,0%,10,40%,False,Trevor Daniel
2018,2018-12-09,13,14,24.001,HOU,,IND,L 21-24,False,8,362,45.25,0,0,0%,0,0%,11,38%,False,Trevor Daniel
2018,2018-12-15,14,15,24.007,HOU,@,NYJ,W 29-22,False,3,137,45.67,0,0,0%,0,0%,10,32%,True,Trevor Daniel
2018,2018-12-23,15,16,24.015,HOU,@,PHI,L 30-32,False,4,161,40.25,0,0,0%,0,0%,9,32%,True,Trevor Daniel
2018,2018-12-30,16,17,24.022,HOU,,JAX,W 20-3,False,7,295,42.14,0,0,0%,0,0%,12,41%,False,Trevor Daniel
2019,2019-09-09,1,1,24.275,HOU,@,NOR,L 28-30,False,4,172,43.00,0,0,0%,0,0%,10,33%,True,Trevor Daniel
2019,2019-09-15,2,2,24.281,HOU,,JAX,W 13-12,False,7,307,43.86,0,0,0%,0,0%,10,40%,False,Trevor Daniel
2020,2020-11-12,9,10,25.340,TEN,,IND,L 17-34,False,2,64,32.00,1,0,0%,0,0%,7,28%,False,Trevor Daniel
2020,2020-11-22,10,11,25.350,TEN,@,BAL,W 30-24,False,2,93,46.50,0,0,0%,0,0%,7,26%,True,Trevor Daniel
,20 Games,,,,,,,13-7-0,False,89,3873,43.52,1,,,,,,,False,Trevor Daniel
