Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2021-01-03,16.0,17.0,24.156,SFO,SEA,L 23-26,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,19%,False,Tristan Vizcaino,False,23,26
2021.0,2021-09-12,1.0,1.0,25.043,LAC,WAS,W 20-16,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,39%,True,Tristan Vizcaino,True,20,16
2021.0,2021-09-19,2.0,2.0,25.05,LAC,DAL,L 17-20,False,,,,3,4,75.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,47%,False,Tristan Vizcaino,False,17,20
2021.0,2021-09-26,3.0,3.0,25.057,LAC,KAN,W 30-24,False,1,3,33.3,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,42%,True,Tristan Vizcaino,True,30,24
2021.0,2021-10-04,4.0,4.0,25.065,LAC,LVR,W 28-14,False,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,1,32,32.00,0,0,0%,0,0%,10,37%,False,Tristan Vizcaino,True,28,14
2021.0,2021-10-10,5.0,5.0,25.071,LAC,CLE,W 47-42,False,3,5,60.0,,,,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,41%,False,Tristan Vizcaino,True,47,42
2021.0,2021-10-17,6.0,6.0,25.078,LAC,BAL,L 6-34,False,,1,0.0,,,,0,0,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,3,13%,True,Tristan Vizcaino,False,6,34
2021.0,2021-10-31,7.0,8.0,,LAC,NWE,L 24-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tristan Vizcaino,False,24,27
2021.0,2021-11-07,8.0,9.0,,LAC,PHI,W 27-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tristan Vizcaino,True,27,24
2021.0,2021-11-14,9.0,10.0,,LAC,MIN,L 20-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tristan Vizcaino,False,20,27
2021.0,2021-11-21,10.0,11.0,,LAC,PIT,W 41-37,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tristan Vizcaino,True,41,37
2021.0,2021-11-28,11.0,12.0,,LAC,DEN,L 13-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tristan Vizcaino,False,13,28
2021.0,2021-12-05,12.0,13.0,,LAC,CIN,W 41-22,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tristan Vizcaino,True,41,22
2021.0,2021-12-12,13.0,14.0,,LAC,NYG,W 37-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tristan Vizcaino,True,37,21
2021.0,2021-12-16,14.0,15.0,,LAC,KAN,L 28-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tristan Vizcaino,False,28,34
