Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,22.234,GNB,CHI,W 31-23,False,0,0,,0,0,0,0,,0,0.0%,,3,106,35.33,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,5,19%,True,Ty Montgomery,True,31,23
2015.0,2015-09-20,2.0,2.0,22.241,GNB,SEA,W 27-17,False,0,0,,0,4,4,37,9.25,0,100.0%,9.25,1,19,19.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,35%,0,0%,4,15%,False,Ty Montgomery,True,27,17
2015.0,2015-09-28,3.0,3.0,22.249,GNB,KAN,W 38-28,False,0,0,,0,2,2,14,7.00,1,100.0%,7.00,2,64,32.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,87%,0,0%,5,16%,False,Ty Montgomery,True,38,28
2015.0,2015-10-04,4.0,4.0,22.255,GNB,SFO,W 17-3,True,2,10,5.00,0,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,99%,0,0%,2,8%,True,Ty Montgomery,True,17,3
2015.0,2015-10-11,5.0,5.0,22.262,GNB,STL,W 24-10,True,0,0,,0,5,4,59,14.75,1,80.0%,11.80,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,98%,0,0%,3,11%,False,Ty Montgomery,True,24,10
2015.0,2015-10-18,6.0,6.0,22.269,GNB,SDG,W 27-20,True,1,4,4.00,0,2,2,11,5.50,0,100.0%,5.50,1,29,29.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,32%,0,0%,1,4%,False,Ty Montgomery,True,27,20
2015.0,2015-11-01,7.0,8.0,,GNB,DEN,L 10-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ty Montgomery,False,10,29
2015.0,2015-11-08,8.0,9.0,,GNB,CAR,L 29-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ty Montgomery,False,29,37
2015.0,2015-11-15,9.0,10.0,,GNB,DET,L 16-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ty Montgomery,False,16,18
2015.0,2015-11-22,10.0,11.0,,GNB,MIN,W 30-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ty Montgomery,True,30,13
2015.0,2015-11-26,11.0,12.0,,GNB,CHI,L 13-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ty Montgomery,False,13,17
2015.0,2015-12-03,12.0,13.0,,GNB,DET,W 27-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ty Montgomery,True,27,23
2015.0,2015-12-13,13.0,14.0,,GNB,DAL,W 28-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ty Montgomery,True,28,7
2015.0,2015-12-20,14.0,15.0,,GNB,OAK,W 30-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ty Montgomery,True,30,20
2015.0,2015-12-27,15.0,16.0,,GNB,ARI,L 8-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ty Montgomery,False,8,38
