Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,23.212,BUF,NYJ,W 27-17,False,3.0,3.0,100.0,2.0,4.0,50.0,0,9,0.0,0,0,0,0,0,0.0,0%,0.0,0%,13.0,50%,False,Tyler Bass,True,27,17
2020.0,2020-09-20,2.0,2.0,23.219,BUF,MIA,W 31-28,False,4.0,4.0,100.0,1.0,1.0,100.0,0,7,0.0,0,0,0,0,0,0.0,0%,0.0,0%,11.0,37%,True,Tyler Bass,True,31,28
2020.0,2020-09-27,3.0,3.0,23.226,BUF,LAR,W 35-32,False,5.0,5.0,100.0,,,,0,5,0.0,0,0,0,0,0,0.0,0%,0.0,0%,11.0,46%,False,Tyler Bass,True,35,32
2020.0,2020-10-04,4.0,4.0,23.233,BUF,LVR,W 30-23,False,3.0,4.0,75.0,1.0,1.0,100.0,0,6,0.0,1,0,1,0,0,0.0,0%,0.0,0%,11.0,41%,True,Tyler Bass,True,30,23
2020.0,2020-10-13,5.0,5.0,23.242,BUF,TEN,L 16-42,False,1.0,1.0,100.0,1.0,1.0,100.0,0,4,0.0,0,0,0,0,0,0.0,0%,0.0,0%,6.0,24%,True,Tyler Bass,False,16,42
2020.0,2020-10-19,6.0,6.0,23.248,BUF,KAN,L 17-26,False,2.0,2.0,100.0,1.0,2.0,50.0,0,5,0.0,0,0,0,0,0,0.0,0%,0.0,0%,8.0,32%,False,Tyler Bass,False,17,26
2020.0,2020-10-25,7.0,7.0,23.254,BUF,NYJ,W 18-10,False,,,,6.0,8.0,75.0,0,18,0.0,0,0,0,0,0,0.0,0%,0.0,0%,14.0,61%,True,Tyler Bass,True,18,10
2020.0,2020-11-01,8.0,8.0,23.261,BUF,NWE,W 24-21,False,3.0,3.0,100.0,1.0,1.0,100.0,0,6,0.0,0,0,0,0,0,0.0,0%,0.0,0%,9.0,36%,False,Tyler Bass,True,24,21
2020.0,2020-11-08,9.0,9.0,23.268,BUF,SEA,W 44-34,False,5.0,5.0,100.0,3.0,4.0,75.0,0,14,0.0,0,0,0,0,0,0.0,0%,0.0,0%,18.0,53%,False,Tyler Bass,True,44,34
2020.0,2020-11-15,10.0,10.0,23.275,BUF,ARI,L 30-32,False,3.0,3.0,100.0,3.0,3.0,100.0,0,12,0.0,0,0,0,0,0,0.0,0%,0.0,0%,12.0,35%,True,Tyler Bass,False,30,32
2020.0,2020-11-29,11.0,12.0,23.289,BUF,LAC,W 27-17,False,3.0,3.0,100.0,2.0,2.0,100.0,0,9,0.0,0,0,0,0,0,0.0,0%,0.0,0%,12.0,44%,False,Tyler Bass,True,27,17
2020.0,2020-12-07,12.0,13.0,23.297,BUF,SFO,W 34-24,False,4.0,4.0,100.0,2.0,2.0,100.0,0,10,0.0,0,0,0,0,0,0.0,0%,0.0,0%,12.0,50%,True,Tyler Bass,True,34,24
