Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,22.350,SEA,@,STL,L 31-34,False,4,4,34,8.50,0,100.0%,8.50,0,0,,0,2,56,28.00,0,2,63,31.50,1,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,69%,0,0%,10,31%,True,Tyler Lockett
2015,2015-09-20,2,2,22.357,SEA,@,GNB,L 17-27,True,2,2,17,8.50,0,100.0%,8.50,0,0,,0,4,79,19.75,0,2,22,11.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,53%,0,0%,10,37%,True,Tyler Lockett
2015,2015-09-27,3,3,22.364,SEA,,CHI,W 26-0,True,1,0,0,,0,0.0%,0.00,0,0,,0,1,105,105.00,1,3,9,3.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,11,41%,False,Tyler Lockett
2015,2015-10-05,4,4,23.007,SEA,,DET,W 13-10,True,5,4,58,14.50,0,80.0%,11.60,1,1,1.00,0,2,30,15.00,0,5,42,8.40,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,37,57%,0,0%,11,46%,False,Tyler Lockett
2015,2015-10-11,5,5,23.013,SEA,@,CIN,L 24-27,False,5,2,29,14.50,0,40.0%,5.80,0,0,,0,1,21,21.00,0,2,8,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,57%,0,0%,11,34%,True,Tyler Lockett
2015,2015-10-18,6,6,23.020,SEA,,CAR,L 23-27,False,2,0,0,,0,0.0%,0.00,0,0,,0,2,27,13.50,0,4,28,7.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,54%,0,0%,10,31%,False,Tyler Lockett
2015,2015-10-22,7,7,23.024,SEA,@,SFO,W 20-3,False,5,5,79,15.80,1,100.0%,15.80,0,0,,0,1,20,20.00,0,5,11,2.20,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,40,56%,0,0%,11,44%,True,Tyler Lockett
2015,2015-11-01,8,8,23.034,SEA,@,DAL,W 13-12,False,4,3,36,12.00,0,75.0%,9.00,0,0,,0,1,18,18.00,0,1,12,12.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,48%,0,0%,9,36%,True,Tyler Lockett
2015,2015-11-15,9,10,23.048,SEA,,ARI,L 32-39,True,1,1,7,7.00,0,100.0%,7.00,0,0,,0,5,104,20.80,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,75%,0,0%,10,29%,False,Tyler Lockett
2015,2015-11-22,10,11,23.055,SEA,,SFO,W 29-13,False,5,4,48,12.00,2,80.0%,9.60,1,5,5.00,0,0,0,,0,4,1,0.25,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,54,69%,0,0%,11,38%,False,Tyler Lockett
2015,2015-11-29,11,12,23.062,SEA,,PIT,W 39-30,True,3,3,38,12.67,0,100.0%,12.67,0,0,,0,5,148,29.60,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,77%,0,0%,9,29%,False,Tyler Lockett
2015,2015-12-06,12,13,23.069,SEA,@,MIN,W 38-7,False,7,7,90,12.86,0,100.0%,12.86,1,7,7.00,0,1,47,47.00,0,3,19,6.33,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,38,57%,0,0%,8,32%,True,Tyler Lockett
2015,2015-12-13,13,14,23.076,SEA,@,BAL,W 35-6,True,7,6,104,17.33,2,85.7%,14.86,0,0,,0,0,0,,0,1,0,0.00,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,46,66%,0,0%,8,33%,True,Tyler Lockett
