Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,24.049,LAR,,DAL,W 20-17,False,3,1,31,31.00,0,33.3%,10.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,45%,0,0%,1,4%,False,Van Jefferson
2020,2020-09-20,2,2,24.056,LAR,@,PHI,W 37-19,False,5,4,45,11.25,0,80.0%,9.00,1,-1,-1.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,38%,0,0%,6,24%,True,Van Jefferson
2020,2020-09-27,3,3,24.063,LAR,@,BUF,L 32-35,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,-11,0,8,12%,0,0%,6,25%,True,Van Jefferson
2020,2020-10-04,4,4,24.070,LAR,,NYG,W 17-9,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,False,Van Jefferson
2020,2020-10-11,5,5,24.077,LAR,@,WAS,W 30-10,False,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,18,26%,0,0%,3,10%,True,Van Jefferson
2020,2020-10-18,6,6,24.084,LAR,@,SFO,L 16-24,False,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,3,11%,True,Van Jefferson
2020,2020-10-26,7,7,24.092,LAR,,CHI,W 24-10,False,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,Van Jefferson
2020,2020-11-01,8,8,24.098,LAR,@,MIA,L 17-28,False,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,15%,0,0%,16,49%,True,Van Jefferson
2020,2020-11-15,9,10,24.112,LAR,,SEA,W 23-16,False,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,19%,0,0%,10,42%,False,Van Jefferson
2020,2020-11-23,10,11,24.120,LAR,@,TAM,W 27-24,False,1,1,7,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,5,17%,True,Van Jefferson
2020,2020-11-29,11,12,24.126,LAR,,SFO,L 20-23,False,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,12,34%,False,Van Jefferson
2020,2020-12-06,12,13,24.133,LAR,@,ARI,W 38-28,False,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,49%,0,0%,8,27%,True,Van Jefferson
2020,2020-12-10,13,14,24.137,LAR,,NWE,W 24-3,False,0,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,19,30%,0,0%,10,42%,False,Van Jefferson
2020,2020-12-20,14,15,24.147,LAR,,NYJ,L 20-23,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,24%,0,0%,15,52%,False,Van Jefferson
2020,2020-12-27,15,16,24.154,LAR,@,SEA,L 9-20,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,9,33%,True,Van Jefferson
2020,2021-01-03,16,17,24.161,LAR,,ARI,W 18-7,False,8,4,50,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,60%,0,0%,4,16%,False,Van Jefferson
2021,2021-09-12,1,1,25.048,LAR,,CHI,W 34-14,True,3,2,80,40.00,1,66.7%,26.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,69%,0,0%,0,0%,False,Van Jefferson
2021,2021-09-19,2,2,25.055,LAR,@,IND,W 27-24,True,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,True,Van Jefferson
2021,2021-09-26,3,3,25.062,LAR,,TAM,W 34-24,True,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,77%,0,0%,1,3%,False,Van Jefferson
2021,2021-10-03,4,4,25.069,LAR,,ARI,L 20-37,True,6,6,90,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,68%,0,0%,0,0%,False,Van Jefferson
2021,2021-10-07,5,5,25.073,LAR,@,SEA,W 26-17,True,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,58%,0,0%,1,4%,True,Van Jefferson
2021,2021-10-17,6,6,25.083,LAR,@,NYG,W 38-11,True,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,64%,0,0%,1,4%,True,Van Jefferson
2021,2021-10-24,7,7,25.090,LAR,,DET,W 28-19,True,7,4,43,10.75,1,57.1%,6.14,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,False,Van Jefferson
2021,2021-10-31,8,8,25.097,LAR,@,HOU,W 38-22,True,6,3,88,29.33,0,50.0%,14.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,84%,0,0%,0,0%,True,Van Jefferson
2021,2021-11-07,9,9,25.104,LAR,,TEN,L 16-28,True,7,3,41,13.67,0,42.9%,5.86,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,96%,0,0%,0,0%,False,Van Jefferson
2021,2021-11-15,10,10,25.112,LAR,@,SFO,L 10-31,True,7,3,54,18.00,0,42.9%,7.71,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,95%,0,0%,0,0%,True,Van Jefferson
2021,2021-11-28,11,12,25.125,LAR,@,GNB,L 28-36,True,9,3,93,31.00,1,33.3%,10.33,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,98%,0,0%,0,0%,True,Van Jefferson
2021,2021-12-05,12,13,25.132,LAR,,JAX,W 37-7,True,8,6,41,6.83,1,75.0%,5.13,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,False,Van Jefferson
2021,2021-12-13,13,14,25.140,LAR,@,ARI,W 30-23,True,3,2,58,29.00,1,66.7%,19.33,1,10,10.00,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,79%,0,0%,1,4%,True,Van Jefferson
2021,2021-12-21,14,15,25.148,LAR,,SEA,W 20-10,True,2,2,23,11.50,0,100.0%,11.50,1,10,10.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,0,0%,False,Van Jefferson
2021,2021-12-26,15,16,25.153,LAR,@,MIN,W 30-23,True,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,67,96%,0,0%,1,3%,True,Van Jefferson
2021,2022-01-02,16,17,25.160,LAR,@,BAL,W 20-19,True,5,4,63,15.75,0,80.0%,12.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Van Jefferson
2021,2022-01-09,17,18,25.167,LAR,,SFO,L 24-27,True,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,69%,0,0%,0,0%,False,Van Jefferson
