Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2006,2006-09-10,1,1,22.222,SFO,@,ARI,L 27-34,True,8,5,37,7.40,1,62.5%,4.63,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,Vernon Davis
2006,2006-09-17,2,2,22.229,SFO,,STL,W 20-13,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Vernon Davis
2006,2006-09-24,3,3,22.236,SFO,,PHI,L 24-38,False,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Vernon Davis
2006,2006-10-01,4,4,,SFO,@,KAN,L 0-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Vernon Davis
2006,2006-10-08,5,5,,SFO,,OAK,W 34-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Vernon Davis
2006,2006-10-15,6,6,,SFO,,SDG,L 19-48,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Vernon Davis
2006,2006-10-29,7,8,,SFO,@,CHI,L 10-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Vernon Davis
2006,2006-11-05,8,9,,SFO,,MIN,W 9-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Vernon Davis
2006,2006-11-12,9,10,,SFO,@,DET,W 19-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Vernon Davis
2006,2006-11-19,10,11,22.292,SFO,,SEA,W 20-14,False,,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Vernon Davis
2006,2006-11-26,11,12,22.299,SFO,@,STL,L 17-20,True,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Vernon Davis
2006,2006-12-03,12,13,22.306,SFO,@,NOR,L 10-34,True,2,1,21,21.00,0,50.0%,10.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Vernon Davis
2006,2006-12-10,13,14,22.313,SFO,,GNB,L 19-30,True,8,3,74,24.67,1,37.5%,9.25,1,9,9.00,0,,1,6,0,,0,0,0,0,,,,,,,False,Vernon Davis
2006,2006-12-14,14,15,22.317,SFO,@,SEA,W 24-14,True,5,3,15,5.00,1,60.0%,3.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Vernon Davis
2006,2006-12-24,15,16,22.327,SFO,,ARI,L 20-26,True,9,4,91,22.75,0,44.4%,10.11,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Vernon Davis
2006,2006-12-31,16,17,22.334,SFO,@,DEN,W 26-23,True,4,3,16,5.33,0,75.0%,4.00,1,-4,-4.00,0,,0,0,0,,0,1,0,0,,,,,,,True,Vernon Davis
2007,2007-09-10,1,1,23.222,SFO,,ARI,W 20-17,True,5,2,4,2.00,0,40.0%,0.80,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Vernon Davis
2007,2007-09-16,2,2,23.228,SFO,@,STL,W 17-16,True,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Vernon Davis
2007,2007-09-23,3,3,23.235,SFO,@,PIT,L 16-37,True,8,4,56,14.00,0,50.0%,7.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Vernon Davis
2007,2007-09-30,4,4,,SFO,,SEA,L 3-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Vernon Davis
