Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-09-12,1,1,23.134,SDG,HOU,False,0,0,0,,0,0.0%,,0,0,,0,4,102,25.50,0,0,0,,0,,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,,,,,,,True,True,27,20,Wes Welker
2004,2004-09-26,3,3,23.148,MIA,PIT,False,0,0,0,,0,0.0%,,0,0,,0,3,66,22.00,0,2,20,10.00,0,,,,,,,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,False,False,3,13,Wes Welker
2004,2004-10-03,4,4,23.155,MIA,NYJ,False,0,0,0,,0,0.0%,,0,0,,0,4,90,22.50,0,1,8,8.00,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,9,17,Wes Welker
2004,2004-10-10,5,5,23.162,MIA,NWE,False,0,0,0,,0,0.0%,,0,0,,0,5,101,20.20,0,5,41,8.20,0,1,1,100.0,1,1,100.0,,0,4,0.0,0,1,1,0,,0,,0,0,0,0,,,,,,,True,False,10,24,Wes Welker
2004,2004-10-17,6,6,23.169,MIA,BUF,False,0,0,0,,0,0.0%,,0,0,,0,4,80,20.00,0,1,5,5.00,0,,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,,,,,,True,False,13,20,Wes Welker
2004,2004-10-24,7,7,23.176,MIA,STL,False,0,0,0,,0,0.0%,,0,0,,0,3,40,13.33,0,4,31,7.75,0,,,,,,,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,False,True,31,14,Wes Welker
2004,2004-11-01,8,8,23.184,MIA,NYJ,False,0,0,0,,0,0.0%,,0,0,,0,6,117,19.50,0,2,9,4.50,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,14,41,Wes Welker
2004,2004-11-07,9,9,23.190,MIA,ARI,False,0,0,0,,0,0.0%,,0,0,,0,2,45,22.50,0,4,33,8.25,0,,,,,,,,0,0,0.0,2,1,3,0,,0,,0,0,0,0,,,,,,,False,False,23,24,Wes Welker
2004,2004-11-21,10,11,23.204,MIA,SEA,False,0,0,0,,0,0.0%,,0,0,,0,4,91,22.75,0,3,33,11.00,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,17,24,Wes Welker
2004,2004-11-28,11,12,23.211,MIA,SFO,False,0,0,0,,0,0.0%,,0,0,,0,2,31,15.50,0,5,72,14.40,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,17,Wes Welker
2004,2004-12-05,12,13,23.218,MIA,BUF,False,0,0,0,,0,0.0%,,0,0,,0,6,158,26.33,0,6,51,8.50,0,,,,,,,,0,0,0.0,1,0,1,0,,1,1,0,0,0,0,,,,,,,False,False,32,42,Wes Welker
2004,2004-12-12,13,14,23.225,MIA,DEN,False,0,0,0,,0,0.0%,,0,0,,0,4,97,24.25,0,2,9,4.50,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,17,20,Wes Welker
2004,2004-12-20,14,15,23.233,MIA,NWE,False,0,0,0,,0,0.0%,,0,0,,0,5,139,27.80,0,2,87,43.50,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,29,28,Wes Welker
2004,2004-12-26,15,16,23.239,MIA,CLE,False,0,0,0,,0,0.0%,,0,0,,0,2,48,24.00,0,3,37,12.33,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,10,7,Wes Welker
2004,2005-01-02,16,17,23.246,MIA,BAL,False,0,0,0,,0,0.0%,,0,0,,0,7,210,30.00,1,3,28,9.33,0,,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,23,30,Wes Welker
2005,2005-09-11,1,1,24.133,MIA,DEN,False,4,4,60,15.00,0,100.0%,15.00,0,0,,0,2,51,25.50,0,4,64,16.00,0,,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,False,True,34,10,Wes Welker
2005,2005-09-18,2,2,24.140,MIA,NYJ,False,4,2,21,10.50,0,50.0%,5.25,0,0,,0,4,73,18.25,0,5,26,5.20,0,,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,,,,,,True,False,7,17,Wes Welker
2005,2005-09-25,3,3,24.147,MIA,CAR,False,1,0,0,,0,0.0%,0.00,1,5,5.00,0,4,80,20.00,0,1,4,4.00,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,24,Wes Welker
2005,2005-10-09,4,5,24.161,MIA,BUF,False,3,2,24,12.00,0,66.7%,8.00,0,0,,0,4,93,23.25,0,5,33,6.60,0,,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,,,,,,True,False,14,20,Wes Welker
2005,2005-10-16,5,6,24.168,MIA,TAM,False,4,3,97,32.33,0,75.0%,24.25,0,0,,0,6,130,21.67,0,4,70,17.50,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,27,Wes Welker
2005,2005-10-21,6,7,24.173,MIA,KAN,False,4,2,41,20.50,0,50.0%,10.25,0,0,,0,7,162,23.14,0,2,55,27.50,0,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,20,30,Wes Welker
