Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-09-07,1,1,,BUF,NWE,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,True,31,0,Willis McGahee
2003,2003-09-14,2,2,,BUF,JAX,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,True,38,17,Willis McGahee
2003,2003-09-21,3,3,,BUF,MIA,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,False,7,17,Willis McGahee
2003,2003-09-28,4,4,,BUF,PHI,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,False,13,23,Willis McGahee
2003,2003-10-05,5,5,,BUF,CIN,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,True,22,16,Willis McGahee
2003,2003-10-12,6,6,,BUF,NYJ,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,False,3,30,Willis McGahee
2003,2003-10-19,7,7,,BUF,WAS,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,True,24,7,Willis McGahee
2003,2003-10-26,8,8,,BUF,KAN,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,False,5,38,Willis McGahee
2003,2003-11-09,9,10,,BUF,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,6,10,Willis McGahee
2003,2003-11-16,10,11,,BUF,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,12,Willis McGahee
