Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,24.021,NOR,ARI,L 19-31,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,16%,True,Zach Hocker,False,19,31
2015.0,2015-09-20,2.0,2.0,24.028,NOR,TAM,L 19-26,False,1,2,50.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,11%,False,Zach Hocker,False,19,26
2015.0,2015-09-27,3.0,3.0,24.035,NOR,CAR,L 22-27,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,True,Zach Hocker,False,22,27
2015.0,2015-10-04,4.0,4.0,24.042,NOR,DAL,W 26-20,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,1,43,43.00,0,0,0%,0,0%,7,23%,False,Zach Hocker,True,26,20
2015.0,2015-10-11,5.0,5.0,24.049,NOR,PHI,L 17-39,False,2,2,100.0,1,1,100.0,0,5,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,6,20%,True,Zach Hocker,False,17,39
2015.0,2015-10-15,6.0,6.0,24.053,NOR,ATL,W 31-21,False,4,4,100.0,1,3,33.3,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,46%,False,Zach Hocker,True,31,21
2015.0,2015-11-29,11.0,12.0,24.098,STL,CIN,L 7-31,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,True,Zach Hocker,False,7,31
2015.0,2015-12-06,12.0,13.0,24.105,STL,ARI,L 3-27,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,1,4%,False,Zach Hocker,False,3,27
2015.0,2015-12-13,13.0,14.0,,STL,DET,W 21-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Zach Hocker,True,21,14
,8 Games,,,,,,2-6-0,False,12,13,92.3,10,14,71.4,0,42,0.0,0,1,1,0,0,1,43,43.00,0,,,,,,,False,Zach Hocker,False,6,0
