Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,21.272,OAK,DET,True,6,3,23,7.67,0,50.0%,3.83,0,0,1,0,0,1,0,0,,,,,,,False,False,21,36,Zach Miller
2007,2007-09-16,2,2,21.279,OAK,DEN,True,3,3,18,6.00,0,100.0%,6.00,0,0,0,0,0,0,0,0,,,,,,,True,False,20,23,Zach Miller
2007,2007-09-23,3,3,21.286,OAK,CLE,True,1,1,13,13.00,0,100.0%,13.00,0,0,0,0,0,0,0,0,,,,,,,False,True,26,24,Zach Miller
2007,2007-09-30,4,4,21.293,OAK,MIA,True,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,,,,,,,True,True,35,17,Zach Miller
2007,2007-10-14,5,6,21.307,OAK,SDG,True,5,3,17,5.67,1,60.0%,3.40,1,6,0,0,0,0,0,0,,,,,,,True,False,14,28,Zach Miller
2007,2007-10-21,6,7,21.314,OAK,KAN,True,9,4,48,12.00,0,44.4%,5.33,0,0,0,0,0,0,0,0,,,,,,,False,False,10,12,Zach Miller
2007,2007-10-28,7,8,21.321,OAK,TEN,True,2,2,19,9.50,0,100.0%,9.50,0,0,0,0,0,0,0,0,,,,,,,True,False,9,13,Zach Miller
2007,2007-11-04,8,9,21.328,OAK,HOU,True,4,1,3,3.00,0,25.0%,0.75,0,0,0,0,0,0,0,0,,,,,,,False,False,17,24,Zach Miller
2007,2007-11-11,9,10,21.335,OAK,CHI,True,6,4,43,10.75,0,66.7%,7.17,0,0,0,0,0,0,0,0,,,,,,,False,False,6,17,Zach Miller
2007,2007-11-18,10,11,21.342,OAK,MIN,True,5,3,33,11.00,0,60.0%,6.60,0,0,0,0,0,0,0,0,,,,,,,True,False,22,29,Zach Miller
2007,2007-11-25,11,12,21.349,OAK,KAN,True,4,4,38,9.50,0,100.0%,9.50,0,0,1,0,0,0,0,0,,,,,,,True,True,20,17,Zach Miller
2007,2007-12-02,12,13,21.356,OAK,DEN,True,4,3,58,19.33,1,75.0%,14.50,1,6,0,0,0,1,0,0,,,,,,,False,True,34,20,Zach Miller
2007,2007-12-09,13,14,21.363,OAK,GNB,True,1,1,8,8.00,0,100.0%,8.00,0,0,0,0,0,0,0,0,,,,,,,True,False,7,38,Zach Miller
2007,2007-12-16,14,15,22.005,OAK,IND,True,1,1,12,12.00,0,100.0%,12.00,0,0,0,0,0,0,0,0,,,,,,,False,False,14,21,Zach Miller
2007,2007-12-23,15,16,22.012,OAK,JAX,True,7,3,27,9.00,1,42.9%,3.86,1,6,0,0,0,1,0,0,,,,,,,True,False,11,49,Zach Miller
2007,2007-12-30,16,17,22.019,OAK,SDG,True,9,8,84,10.50,0,88.9%,9.33,0,0,0,0,0,0,0,0,,,,,,,False,False,17,30,Zach Miller
2008,2008-09-08,1,1,22.272,OAK,DEN,True,6,4,34,8.50,0,66.7%,5.67,0,0,0,,0,0,0,0,,,,,,,False,False,14,41,Zach Miller
2008,2008-09-14,2,2,22.278,OAK,KAN,False,2,2,24,12.00,0,100.0%,12.00,0,0,0,,0,0,0,0,,,,,,,True,True,23,8,Zach Miller
2008,2008-09-21,3,3,22.285,OAK,BUF,True,2,0,0,,0,0.0%,0.00,0,0,0,,,0,0,0,,,,,,,True,False,23,24,Zach Miller
2008,2008-09-28,4,4,22.292,OAK,SDG,True,8,5,95,19.00,1,62.5%,11.88,1,6,0,,0,0,0,0,,,,,,,False,False,18,28,Zach Miller
2008,2008-10-12,5,6,22.306,OAK,NOR,True,5,3,46,15.33,0,60.0%,9.20,0,0,0,,0,0,0,0,,,,,,,True,False,3,34,Zach Miller
2008,2008-10-19,6,7,22.313,OAK,NYJ,True,5,4,57,14.25,0,80.0%,11.40,0,0,0,,0,0,0,0,,,,,,,False,True,16,13,Zach Miller
2008,2008-10-26,7,8,22.320,OAK,BAL,True,5,2,56,28.00,0,40.0%,11.20,0,0,0,,0,0,0,0,,,,,,,True,False,10,29,Zach Miller
2008,2008-11-02,8,9,22.327,OAK,ATL,True,3,2,9,4.50,0,66.7%,3.00,0,0,0,,0,0,0,0,,,,,,,False,False,0,24,Zach Miller
2008,2008-11-09,9,10,22.334,OAK,CAR,True,5,3,42,14.00,0,60.0%,8.40,0,0,0,,0,0,0,0,,,,,,,False,False,6,17,Zach Miller
2008,2008-11-16,10,11,22.341,OAK,MIA,True,6,4,67,16.75,0,66.7%,11.17,0,0,0,,0,0,0,0,,,,,,,True,False,15,17,Zach Miller
2008,2008-11-23,11,12,22.348,OAK,DEN,True,3,3,41,13.67,0,100.0%,13.67,0,0,0,,0,0,0,0,,,,,,,True,True,31,10,Zach Miller
2008,2008-11-30,12,13,22.355,OAK,KAN,True,11,5,79,15.80,0,45.5%,7.18,0,0,0,,0,0,0,0,,,,,,,False,False,13,20,Zach Miller
2008,2008-12-04,13,14,22.359,OAK,SDG,True,9,8,64,8.00,0,88.9%,7.11,0,0,0,,0,0,0,0,,,,,,,True,False,7,34,Zach Miller
2008,2008-12-14,14,15,23.003,OAK,NWE,True,7,5,60,12.00,0,71.4%,8.57,0,0,0,,0,1,0,0,,,,,,,False,False,26,49,Zach Miller
2008,2008-12-21,15,16,23.010,OAK,HOU,True,6,4,70,17.50,0,66.7%,11.67,0,0,0,,0,0,0,0,,,,,,,False,True,27,16,Zach Miller
2008,2008-12-28,16,17,23.017,OAK,TAM,True,3,2,34,17.00,0,66.7%,11.33,0,0,0,,0,0,0,0,,,,,,,True,True,31,24,Zach Miller
2009,2009-09-14,1,1,23.277,OAK,SDG,True,6,6,96,16.00,0,100.0%,16.00,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Zach Miller
2009,2009-09-20,2,2,23.283,OAK,KAN,True,3,0,0,,0,0.0%,0.00,0,0,0,,,0,0,0,,,,,,,True,True,13,10,Zach Miller
2009,2009-09-27,3,3,23.290,OAK,DEN,True,5,2,17,8.50,0,40.0%,3.40,0,0,0,,0,1,0,0,,,,,,,False,False,3,23,Zach Miller
2009,2009-10-04,4,4,23.297,OAK,HOU,True,6,3,33,11.00,0,50.0%,5.50,0,0,0,,0,0,0,0,,,,,,,True,False,6,29,Zach Miller
2009,2009-10-11,5,5,23.304,OAK,NYG,True,4,4,69,17.25,0,100.0%,17.25,0,0,0,,0,0,0,0,,,,,,,True,False,7,44,Zach Miller
