Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-09-12,1.0,1.0,22.04,NYJ,CAR,L 14-19,True,20,37,54.05,258,2,1,82.9,6,51,6.97,6.84,0,0,,0,1,0,2,1,0,0,1,0,0,65,100%,0,0%,0,0%,True,Zach Wilson,False,14,19
2021.0,2021-09-19,2.0,2.0,22.047,NYJ,NWE,L 6-25,True,19,33,57.58,210,0,4,37.0,4,26,6.36,0.91,3,19,6.33,0,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,False,Zach Wilson,False,6,25
2021.0,2021-09-26,3.0,3.0,22.054,NYJ,DEN,L 0-26,True,19,35,54.29,160,0,2,42.6,5,41,4.57,2.00,1,2,2.00,0,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,Zach Wilson,False,0,26
2021.0,2021-10-03,4.0,4.0,22.061,NYJ,TEN,W 27-24,True,21,34,61.76,297,2,1,97.3,1,8,8.74,8.59,3,-2,-0.67,0,,0,0,1,0,0,1,0,0,61,100%,0,0%,0,0%,False,Zach Wilson,True,27,24
2021.0,2021-10-10,5.0,5.0,22.068,NYJ,ATL,L 20-27,True,19,32,59.38,192,0,1,63.5,2,26,6.00,4.59,1,3,3.00,0,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,Zach Wilson,False,20,27
2021.0,2021-10-24,6.0,7.0,22.082,NYJ,NWE,L 13-54,True,6,10,60.00,51,0,0,73.3,1,8,5.10,5.10,0,0,,0,,0,0,0,0,0,0,0,0,18,28%,0,0%,0,0%,True,Zach Wilson,False,13,54
2021.0,2021-10-31,7.0,8.0,,NYJ,CIN,W 34-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Zach Wilson,True,34,31
2021.0,2021-11-04,8.0,9.0,,NYJ,IND,L 30-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Zach Wilson,False,30,45
2021.0,2021-11-14,9.0,10.0,,NYJ,BUF,L 17-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Zach Wilson,False,17,45
2021.0,2021-11-21,10.0,11.0,,NYJ,MIA,L 17-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Zach Wilson,False,17,24
2021.0,2021-11-28,11.0,12.0,22.117,NYJ,HOU,W 21-14,True,14,24,58.33,145,0,1,58.5,4,36,6.04,4.17,2,3,1.50,1,,1,6,1,0,0,0,0,0,67,100%,0,0%,0,0%,True,Zach Wilson,True,21,14
2021.0,2021-12-05,12.0,13.0,22.124,NYJ,PHI,L 18-33,True,23,38,60.53,226,2,1,83.9,2,15,5.95,5.82,3,0,0.00,1,,1,6,0,0,0,0,0,0,59,100%,0,0%,0,0%,False,Zach Wilson,False,18,33
2021.0,2021-12-12,13.0,14.0,22.131,NYJ,NOR,L 9-30,True,19,42,45.24,202,0,0,59.8,3,24,4.81,4.81,4,33,8.25,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Zach Wilson,False,9,30
2021.0,2021-12-19,14.0,15.0,22.138,NYJ,MIA,L 24-31,True,13,23,56.52,170,0,0,80.0,6,44,7.39,7.39,4,12,3.00,1,,1,6,1,1,0,0,0,0,57,100%,0,0%,0,0%,True,Zach Wilson,False,24,31
2021.0,2021-12-26,15.0,16.0,22.145,NYJ,JAX,W 26-21,True,14,22,63.64,102,1,0,89.6,1,2,4.64,5.55,4,91,22.75,1,,1,6,0,0,0,0,0,0,58,100%,0,0%,0,0%,False,Zach Wilson,True,26,21
2021.0,2022-01-02,16.0,17.0,22.152,NYJ,TAM,L 24-28,True,19,33,57.58,234,1,0,89.7,1,10,7.09,7.70,2,0,0.00,0,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,False,Zach Wilson,False,24,28
2021.0,2022-01-09,17.0,18.0,22.159,NYJ,BUF,L 10-27,True,7,20,35.00,87,1,0,66.0,8,79,4.35,5.35,2,24,12.00,0,,0,0,1,0,0,1,0,0,46,100%,0,0%,0,0%,True,Zach Wilson,False,10,27
,13 Games,,,,,,3-10-0,False,213,383,55.61,2334,9,11,69.7,44,370,6.09,5.27,29,185,6.38,4,1,4,26,5,1,0,3,0,0,,,,,,,False,Zach Wilson,False,10,0
