Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Harrison Butker,KAN,24,,16,0,,,9,9,10,9,13,13,6,3,38,34,56,89.5%,48,45,93.8%,98,6157,60,61.2%,62.8,,,,,,False,False
Wil Lutz,NOR,25,,16,0,1,1,9,9,6,6,15,13,5,3,36,32,58,88.9%,49,48,98.0%,94,6082,74,78.7%,64.7,,,,,,True,False
Zane Gonzalez,ARI,24,,16,0,,,12,12,13,12,8,5,2,2,35,31,54,88.6%,35,34,97.1%,83,5241,45,54.2%,63.1,2,84,44,0,42.0,False,False
Matt Gay,TAM,25,,16,0,,,6,6,7,5,14,11,8,5,35,27,58,77.1%,48,43,89.6%,1,14,,,14.0,,,,,,False,False
Josh Lambo,JAX,29,,16,0,,,12,12,9,9,9,8,4,4,34,33,56,97.1%,20,19,95.0%,40,2283,23,57.5%,57.1,,,,,,False,False
Brandon McManus,DEN,28,,16,0,,,6,6,9,9,12,10,7,4,34,29,53,85.3%,26,25,96.2%,72,4634,55,76.4%,64.4,,,,,,False,False
Greg Zuerlein,LAR,32,k,16,0,,,7,7,8,7,11,5,7,5,33,24,58,72.7%,42,42,100.0%,83,5281,64,77.1%,63.6,,,,,,False,False
Joey Slye,CAR,23,,16,0,,,5,4,5,5,11,8,11,8,32,25,55,78.1%,35,31,88.6%,70,4503,66,94.3%,64.3,,,,,,False,False
Chris Boswell,PIT,28,,16,0,1,1,11,11,7,7,10,9,2,1,31,29,51,93.5%,28,28,100.0%,72,4552,31,43.1%,63.2,,,,,,False,False
Randy Bullock,CIN,30,,16,0,,,10,10,6,6,12,10,3,1,31,27,57,87.1%,25,24,96.0%,71,4269,46,64.8%,60.1,,,,,,False,False
Robbie Gould,SFO,37,,13,0,,,9,9,10,8,8,6,4,,31,23,47,74.2%,42,41,97.6%,1,37,,,37.0,,,,,,False,False
Matt Prater,DET,35,,16,0,,,11,11,3,2,9,6,8,7,31,26,56,83.9%,36,35,97.2%,19,1159,8,42.1%,61.0,,,,,,False,False
